Name,Address
BachserMärt Albisrieden,"Ginsterstrasse 1,  8047 Zürich Albisrieden"
BachserMärt Bachs,"Bachsertalstrasse 14,  8164 Bachs"
BachserMärt Eglisau,"Obergass 1,  8193 Eglisau"
BachserMärt Kalkbreite,"Badenerstasse 171,  8003 Zürich"
BachserMärt Paradiesli,"Seefeldstrasse 29,  8008 Zürich"
Bioladen Glück,"Dorfstrasse 4,  8630 Rüti"
Chornlade Idaplatz,"Zurlindenstrasse 211,  8003 Zürich"
der bioladen,"Altstetterstrasse 128,  8048 Zürich"
Ekkharthof - Leben aus anderer Perspektive,"Rütelistrasse 2,  8574 Lengwil"
Erboristi Lendi,"Via Costa 17,  6986 Curio"
Gazosa Monti AG,"Zeughausstrasse 31,  8004 Zürich"
hallerladen – der biomarkt,"Länggassstrasse 30/Ecke Mittelstrasse,  3012 Bern"
iis-chue,"Zugerstrasse 17,  6330 Cham"
Integral Bio-Laden,"Poststrasse 8,  3400 Burgdorf"
Korn.Haus,"Pestalozzistrasse 2,  9500 Wil"
köstliches von haas,"Waldheimstr. 4,  6314 Unterägeri"
köstliches von haas,"Dorfstrasse 32,  6340 Baar"
L'Aubier SA,"Les Murailles 5,  2037 Montezillon"
La Cucina Tee & Gewürze,"Lyssstrasse 5,  3054 Schüpfen"
Lindenmühle,"Landstrasse 39,  8450 Andelfingen"
Märit-Laden Wabern,"Seftigenstrasse 208,  3084 Wabern"
Murimoos werken und wohnen,"Postfach 260,  5630 Muri"
Naturlade Wald GmbH,"Schlipfstrasse 12,  8636 Wald"
Oekoladen Thun GmbH,"Obere Haptgasse 20,  3600 Thun"
Phönix,"Bahnhofstrasse 4,  2502 Biel / Bienne"
PrimaNatura,"Dorfplatz 4,  4144 Arlesheim"
Rägawurm,"Comandergasse 3,  7000 Chur"
Rägeboge Winterthur GmbH,"Rudolfstrasse 13,  8400 Winterthur"
REFORM VETSCH,"Alvierstrasse 12,  9470 Buchs"
Regenbogen Bio Reformhaus,"Oberer Steisteg 10,  6340 Schwyz"
Stadtladen,"Katharinengasse 12,  9000 St. Gallen"
Stiftung Stöckenweid,"Bünishoferstrasse 295,  8706 Feldmeilen"
WIWA-Naturkost,"Poststrasse 8,  4460 Gelterkinden"
Almaris Fine Food GmbH,"Im Langstuck 4,  8044 Gockhausen"
Alna Diététique Bio,"Rue de Cornavin 3-5,  1201 Genève"
Amaltheia bioreform,"Bankweg 51 A,  5610 Wohlen AG"
Andeerer Sennerei,"Sennerei,  7440 Andeer"
Andermatt Andreas,"Paradies,  9323 Steinach"
Angolo della Natura,"Viale della Stazione,  7742 Poschiavo"
Arco Bio-Laden,"Obere Stallstrasse 2,  7430 Thusis"
ArteBio,"Av. de Riant-Mont 2,  1004 Lausanne"
Arvensis SARL,"Av. Béthusy 31,  1012 Lausanne"
Atelier Spinnler,"Hauptstrasse 47,  4654 Lostorf"
atelier spirit,"Geerenstrasse 7c,  8604 Kindhausen (Volketswil)"
AU FRIAND Sarl,"Faubourg de l'Hopital 1,  2000 Neuchâtel"
Au Jardin de Cérès,"rue de Tanneurs 3,  2900 Porrentruy"
Aux saveurs des alpes,"Rte du Rhône 12,  1963 Vétroz"
B!O Shop Viktoria,"Pilatusstrasse 19,  6003 Luzern"
bambus bio-fair-trade,"Watterstrasse 18,  8105 Regensdorf"
Becke-Martin Frischprodukte,"Kirchgasse 7c,  4402 Frenkendorf"
