Ein bett im Keller/ Abstellraum,38 CHF pro Nacht
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF pro Nacht
Engelburg Zuhause mit Aussicht,51 CHF pro Nacht
Komfortables Einzelzimmer,37 CHF pro Nacht
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht
"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60 CHF pro Nacht
Nah an der Natur und ÖV vor der Tür,75 CHF pro Nacht
Casa Siddhartha - „Hemingway“,47 CHF pro Nacht
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",52 CHF pro Nacht
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS1",54 CHF pro Nacht
"Privatzimmer im Baudenkmal, zentral gelegen",54 CHF pro Nacht
Casa Siddhartha - R. Musil,61 CHF pro Nacht
"Herisau, Zuhause mittendrin und trotzdem ruhig",58 CHF pro Nacht
Privatzimmer - Tolle Aussicht auf den See,61 CHF pro Nacht
In der Natur auftanken,45 CHF pro Nacht
Säntiszimmer,42 CHF pro Nacht
Erlebnis Auen (Inserat 2),37 CHF pro Nacht
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF pro Nacht
Gartenstudio in Appenzellerhaus,78 CHF pro Nacht
1er Zimmer ruhig 5 Min. bis ÖV,63 CHF pro Nacht
Studio über Bäckerei,71 CHF pro Nacht
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62 CHF pro Nacht
"Casa Siddhartha - H.Hesse""",53 CHF pro Nacht
Aufenthalt für 3 in der Schweiz,60 CHF pro Nacht
Casa Siddhartha - Th. Mann,57 CHF pro Nacht
Erlebnis Auen (Inserat 1),37 CHF pro Nacht
Studio Pfauen Appenzell,65 CHF pro Nacht
Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF pro Nacht
Luxuriöses Hotelzimmer im Grünen,103 CHF pro Nacht
Ideal gelegene Wohnung,92 CHF pro Nacht
