"St. Gallen, 27.-30. Juni 2024",
Titel,Preis pro Nacht
Aufenthalt bei Sabrina,51 CHF pro Nacht
Aufenthalt bei Heinz,98 CHF pro Nacht
Aufenthalt bei Pia,75 CHF pro Nacht
Aufenthalt bei Melanie,102 CHF pro Nacht
Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht
Gartenstudio in Appenzellerhaus,77 CHF pro Nacht
Aufenthalt bei Sonja,"81 CHF pro Nacht, ursprünglich 89 CHF"
Die charmante Ferienwohnung,87 CHF pro Nacht
Gemütliche möblierte Attika nähe HSG Uni & OLMA,142 CHF pro Nacht
Ort für Auszeit im Grünen,115 CHF pro Nacht
Charmante Wohnung in Rotmonten,159 CHF pro Nacht
hübsche 2 1/2 Zimmer Dachwohnung,100 CHF pro Nacht
Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF pro Nacht
Gemütliche Loft in umgebauter Remise,152 CHF pro Nacht
ACHTE auf die LÜCKE am Bodensee,183 CHF pro Nacht
Einzigartige Lage direkt am See mit endlosem Blick,197 CHF pro Nacht
Leimathof Wohnung Typ I,218 CHF pro Nacht
Luxuriöse Ferienwohnung direkt am Bodensee,265 CHF pro Nacht
Wellness,296 CHF pro Nacht
Traumhafte Familienferien in Landhaus im Grünen,353 CHF pro Nacht
Aufenthalt bei Afrim,37 CHF pro Nacht
wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht
Aufenthalt bei Elisabeth,110 CHF pro Nacht
Klein aber Fein in Rorschach (Nichtraucherwohnung),"94 CHF pro Nacht, ursprünglich 102 CHF"
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147 CHF pro Nacht
Aufenthalt bei Luca,60 CHF pro Nacht
Aufenthalt bei Vanessa,98 CHF pro Nacht
Sky-Town Apartment,183 CHF pro Nacht
Aufenthalt bei Maya,63 CHF pro Nacht
Charmante Wohnung in Rotmonten,159 CHF pro Nacht
,
"St. Gallen, 10.-20. Oktober 2024",
Titel,Preis pro Nacht
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
Nachhaltig Wohnen ohne Kompromisse!,82 CHF pro Nacht
Zur Geduld,"84 CHF pro Nacht, ursprünglich 94 CHF"
Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
2.5 Zimmer mit Balkon Nähe SpitalUni,95 CHF pro Nacht
Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
TouchBed | Budget Studio,101 CHF pro Nacht
2.5 Zimmermodernruhig und zentrumsnah,124 CHF pro Nacht
Gartenstudio in Appenzellerhaus,"63 CHF pro Nacht, ursprünglich 69 CHF"
2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
Studio Trailalps: Nähe St. Gallen,"66 CHF pro Nacht, ursprünglich 80 CHF"
Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"104 CHF pro Nacht, ursprünglich 114 CHF"
Nähe TheaterOlmaUniStadtzentrum,128 CHF pro Nacht
Sky-Town Apartment,109 CHF pro Nacht
Aufenthalt bei Heinz,"81 CHF pro Nacht, ursprünglich 89 CHF"
Moderneshochwertiges Studio,"61 CHF pro Nacht, ursprünglich 73 CHF"
Aufenthalt bei Dijana,"42 CHF pro Nacht, ursprünglich 46 CHF"
2 Zimmer mit BalkonNetflix und Mietfahrräder,97 CHF pro Nacht
ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
"Attika 2,5 Zimmer möbliert Nähe HSG Universität","105 CHF pro Nacht, ursprünglich 116 CHF"
winzige Wohnung,93 CHF pro Nacht
Charmante Wohnung im Zentrum von Goldach,"70 CHF pro Nacht, ursprünglich 76 CHF"
Charmante Jugendstilwohnung,"88 CHF pro Nacht, ursprünglich 95 CHF"
Charmante Wohnung in Seenähe,70 CHF pro Nacht
ACHTE auf die LÜCKE am Bodensee,"150 CHF pro Nacht, ursprünglich 171 CHF"
Schönes Studio in St. Gallen,"68 CHF pro Nacht, ursprünglich 74 CHF"
