Name,PreisproNacht (Zeitraum:20240627-20240630);Name,PreisproNacht(Zeitraum:20241010-20241020)
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital,""102 CHF pro Nacht""";"Nähe Theater, Olma, Uni, Stadtzentrum,""130 CHF pro Nacht"""
"St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,""98 CHF pro Nacht""";"Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,""54 CHF pro Nacht, ursprünglich 60 CHF"""
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS,""146 CHF pro Nacht""";"Nachhaltig Wohnen ohne Kompromisse!,""83 CHF pro Nacht"""
"Gemütliche möblierte Attika nähe HSG Uni & OLMA,""146 CHF pro Nacht""";"Grosszügige Wohnung in der Stadt,""147 CHF pro Nacht, ursprünglich 160 CHF"""
"Engelburg Zuhause mit Aussicht,""51 CHF pro Nacht""";"2.5 Zimmer, modern, ruhig und zentrumsnah,""124 CHF pro Nacht"""
"Grosszügige, schöne und ruhige Wohnung,""105 CHF pro Nacht""";"2.5 Zimmer mit Balkon Nähe Spital, Uni,""95 CHF pro Nacht"""
"Charmante Wohnung auf dem Lande und doch zentral,""116 CHF pro Nacht""";"Zur Geduld,""85 CHF pro Nacht, ursprünglich 95 CHF"""
"Nah an der Natur und ÖV vor der Tür,""75 CHF pro Nacht""";"Studio mit Charme und Aussicht,""58 CHF pro Nacht, ursprünglich 69 CHF"""
"Gartenstudio in Appenzellerhaus,""78 CHF pro Nacht""";"2.New Apartment 2 Min vom Bahnhof,""139 CHF pro Nacht, ursprünglich 158 CHF"""
"ACHTE auf die LÜCKE am Bodensee,""183 CHF pro Nacht""";"Sky-Town Apartment,""110 CHF pro Nacht"""
"Ruhiges Wohlfühlzimmer mit eigenem Bad,""81 CHF pro Nacht, ursprünglich 89 CHF""";"TouchBed | Budget Studio,""101 CHF pro Nacht"""
"Zentrale Ferienwohnung am Bodensee,""134 CHF pro Nacht""";"Kernsanierte Wohnung nähe Bahnhof und Zentrum,""130 CHF pro Nacht"""
"Gemütliche Loft in umgebauter Remise,""152 CHF pro Nacht""";"Charmante Jugendstilwohnung,""88 CHF pro Nacht, ursprünglich 95 CHF"""
"1er Zimmer ruhig 5 Min. bis ÖV,""63 CHF pro Nacht""";"Attika 2,5 Zimmer möbliert Nähe HSG Universität,""105 CHF pro Nacht, ursprünglich 116 CHF"""
"Die charmante Ferienwohnung,""88 CHF pro Nacht""";"Atelier/Loft im Grünen Individuelles Altes Haus,""126 CHF pro Nacht"""
"Leimathof Wohnung Typ I,""218 CHF pro Nacht""";"Poliba St.Gallen-3 1/2 zimmer wohnung,""48 CHF pro Nacht"""
"Idyllisches Plätzchen in Thurgauer Weiler,""98 CHF pro Nacht""";"ruhiges Tiny House in der Nähe des Waldes,""107 CHF pro Nacht, ursprünglich 121 CHF"""
"Ferienwohnung klein aber fein,""88 CHF pro Nacht""";"ACHTE auf die LÜCKE am Bodensee,""150 CHF pro Nacht, ursprünglich 171 CHF"""
"Ganze Wohnung mitten in der Altstadt von Arbon,""94 CHF pro Nacht""";"Ganze Wohnung mitten in der Altstadt von Arbon,""61 CHF pro Nacht, ursprünglich 69 CHF"""
"Traumhafte Familienferien in Landhaus im Grünen,""353 CHF pro Nacht""";"Neu möblierte schöne Wohnung im Zentrum *AppleTV*,""105 CHF pro Nacht, ursprünglich 115 CHF"""
"Zwei helle Zimmer, Küche und Bad,""88 CHF pro Nacht""";"Studio Trailalps: Nähe St. Gallen,""66 CHF pro Nacht, ursprünglich 80 CHF"""
"Attika 2,5 Zimmer möbliert Nähe HSG Universität,""147 CHF pro Nacht""";"2 Zimmer mit Balkon, Netflix und Mietfahrräder,""98 CHF pro Nacht"""
"Gemütliche Unterkunft am ruhigen Stadtrand,""110 CHF pro Nacht""";"1.New Apartment 2 Min vom Bahnhof,""139 CHF pro Nacht, ursprünglich 158 CHF"""
"hübsche 2 1/2 Zimmer Dachwohnung,""100 CHF pro Nacht""";"Charmante Wohnung im Zentrum von Goldach,""70 CHF pro Nacht, ursprünglich 76 CHF"""
"Zimmer mit traumhaftem Ausblick,""78 CHF pro Nacht, ursprünglich 90 CHF""";"Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,""125 CHF pro Nacht, ursprünglich 136 CHF"""
"Klein aber Fein in Rorschach (Nichtraucherwohnung),""94 CHF pro Nacht, ursprünglich 103 CHF""";"Studio mit Panoramaaussicht,""58 CHF pro Nacht, ursprünglich 69 CHF"""
"Wellness,""296 CHF pro Nacht""";"winzige Wohnung,""93 CHF pro Nacht"""
"Komfortables Einzelzimmer,""37 CHF pro Nacht""";"Gemütliche Loft in umgebauter Remise,""119 CHF pro Nacht"""
"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte,""123 CHF pro Nacht""";"Schmuckes Reiheneinfamilienhaus,""89 CHF pro Nacht, ursprünglich 97 CHF"""
"wunderschönes studio im dorfkern von trogen,""86 CHF pro Nacht""";"Gartenstudio in Appenzellerhaus,""64 CHF pro Nacht, ursprünglich 69 CHF"""
