Unterkunft Name;Preis pro Nacht
Zeitraum 27.06.-30.06.2024;
S„ntiszimmer;36ÿCHF pro Nacht
YELLOW INN B 26 n„he Uni, Olma, Spital, FHS;146ÿCHF pro Nacht
Sch”nes Zimmer mit Charme;30ÿCHF pro Nacht
Sch”nes Zimmer, zentral gelegen;45ÿCHF pro Nacht
Unterknft 2 Minuten von See;79ÿCHF pro Nacht
Sch”nes Studio direkt am Bodensee ( Klimaanlage );100ÿCHF pro Nacht
Das Spielzimmer* am Bodensee;95ÿCHF pro Nacht
Casa Siddhartha - Th. Mann;43ÿCHF pro Nacht
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;38ÿCHF pro Nacht
"Villa Donkey ""Jurte Gergii""";115ÿCHF pro Nacht
YELLOW INN B 25 n„he Uni, Olma, Spital, FHS;46ÿCHF pro Nacht
Kleines Studio mit Dusche fr bis 2 Personen;60ÿCHF pro Nacht
Unterkunft 300m zum Bodensee;83ÿCHF pro Nacht
Casa Siddhartha - ?Hemingway?;34ÿCHF pro Nacht
Rothirsch-Zimmer;110ÿCHF pro Nacht
EH Apartments Merkur | Superior Studio;396ÿCHF pro Nacht
Gemtliches Doppelzimmer mit Kche und Wohnstube;50ÿCHF pro Nacht
Wundersch”nes privates Zimmer mit eigenem Bad;130ÿCHF pro Nacht
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2;52ÿCHF pro Nacht
Haus mit Charakter, gartenbestckt und im Dorf;96ÿCHF pro Nacht
"Modernes G„stezimmer ""Rti"", mit Bergsicht!";70ÿCHF pro Nacht
YELLOW INN B 27 n„he Uni, Olma, Spital, FHS;146ÿCHF pro Nacht
Mini-Studio 1  Pers. in Villa, n„chster Hauptbahnhof;147ÿCHF pro Nacht
Nah an der Natur und ™V vor der Tr;65ÿCHF pro Nacht
Doppelzimmer ruhige Lage nahe ™V;90ÿCHF pro Nacht
Charmante Wohnung in Rotmonten;125ÿCHF pro Nacht
B & B Appenzellerland;85ÿCHF pro Nacht
Luxuri”ses Hotelzimmer im Grnen;69ÿCHF pro Nacht
Komfortables Zimmer/Bad & Frhstck;67ÿCHF pro Nacht
Loft in der Natur mit Gartenzugang und Sauna;179ÿCHF pro Nacht
Zeitraum 10.10.-20.10.2024;
Pepenezia: Zimmer Schlafen;95ÿCHF pro Nacht
Budgetapartment Imperia von Swisspartments;77ÿCHF pro Nacht
Villa Donkey Ferienwohnung 114D;150ÿCHF pro Nacht
Zwei sch”ne R„ume fr Seminare und Kurse mit;97ÿCHF pro Nacht
Ruhiges Zimmer mit Sitzplatz;50ÿCHF pro Nacht
Zimmer mit Aussicht vom Stoss AR;270ÿCHF pro Nacht
Fuchs-Zimmer;60ÿCHF pro Nacht
G„stezimmer in klassizistischem Stall;97ÿCHF pro Nacht
Dachterrasse am See, perfekte Lage fr die Stadt;95ÿCHF pro Nacht
Ein bett im Keller/ Abstellraum;33ÿCHF pro Nacht
Neue, ger„umige Zimmer mit Aussicht von Garten;35ÿCHF pro Nacht
Zwei historische Zimmer bei Rathaus und Kirche;84ÿCHF pro Nacht
Gateway to Appenzell und Bodensee;120ÿCHF pro Nacht
Exklusiv Top-Apartment in Landhausvilla;178ÿCHF pro Nacht
"Casa Siddhartha - ""H.Hesse""";39ÿCHF pro Nacht
Kinderfreundliche 3-Zi. Wohnung;70ÿCHF pro Nacht
5?Boxspring?180øLake-SunSet View?Netflix?;311ÿCHF pro Nacht
Groáe Wohnung , alles ausgestattet;100ÿCHF pro Nacht
Casacompbrunn - stilvoller Dachboden;123ÿCHF pro Nacht
Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33;90ÿCHF pro Nacht
"Modernes G„stezimmer ""Rti"", mit Bergsicht!";70ÿCHF pro Nacht
B & B Appenzellerland;85ÿCHF pro Nacht
Bauernhaus mit sonderbarem Charme (2-6 P. / 3 Zi.);195ÿCHF pro Nacht
Charmante Wohnung auf dem Lande und doch zentral;84ÿCHF pro Nacht
Nah an der Natur und ™V vor der Tr;65ÿCHF pro Nacht
Doppelzimmer ruhige Lage nahe ™V;90ÿCHF pro Nacht
Attika 2,5 Zimmer m”bliert N„he HSG Universit„t;84ÿCHF pro Nacht
Charmante Wohnung in Rotmonten;125ÿCHF pro Nacht
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2;52ÿCHF pro Nacht
Ort fr Auszeit im Grnen;80ÿCHF pro Nacht
