27.06.24 - 30.06.24,,,,10.10.24-20.10.24,,
Nr.,Name der Unterkunft,Preis pro Nacht,,Nr.,Name der Unterkunft,Preis pro Nacht
1,Aufenthalt bei Heinz,98CHF pro Nacht,,1,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54CHF pro Nacht, ursprünglich 60CHF"
2,ACHTE auf die LÜCKE am Bodensee,183CHF pro Nacht,,2,"2.5 Zimmer mit Balkon Nähe Spital, Uni",95CHF pro Nacht
3,Aufenthalt bei Sabrina,51CHF pro Nacht,,3,Nachhaltig Wohnen ohne Kompromisse!,83CHF pro Nacht
4,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147CHF pro Nacht,,4,Poliba St.Gallen-3 1/2 zimmer wohnung,48CHF pro Nacht
5,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134CHF pro Nacht,,5,Studio mit Charme und Aussicht,"58CHF pro Nacht, ursprünglich 69CHF"
6,Studio Pfauen Appenzell,65CHF pro Nacht,,6,2.New Apartment 2 Min vom Bahnhof,"139CHF pro Nacht, ursprünglich 158CHF"
7,Aufenthalt bei Afrim,37CHF pro Nacht,,7,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"105CHF pro Nacht, ursprünglich 115CHF"
8,Die charmante Ferienwohnung,88CHF pro Nacht,,8,Zur Geduld,"85CHF pro Nacht, ursprünglich 95CHF"
9,Aufenthalt bei Melanie,102CHF pro Nacht,,9,Studio mit Panoramaaussicht,"58CHF pro Nacht, ursprünglich 69CHF"
10,"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62CHF pro Nacht,,10,TouchBed | Budget Studio,101CHF pro Nacht
11,Aufenthalt bei Pia,75CHF pro Nacht,,11,Sky-Town Apartment,110CHF pro Nacht
12,Gartenstudio in Appenzellerhaus,78CHF pro Nacht,,12,"2.5 Zimmer, modern, ruhig und zentrumsnah",124CHF pro Nacht
13,Wunderschönes Studio inmitten der Natur,"119CHF pro Nacht, ursprünglich 132CHF",,13,Grosszügige Wohnung in der Stadt,"147CHF pro Nacht, ursprünglich 160CHF"
14,Aufenthalt bei Franziska,"78CHF pro Nacht, ursprünglich 90CHF",,14,Aufenthalt bei Heinz,"81CHF pro Nacht, ursprünglich 89CHF"
15,Aufenthalt bei Edmond,77CHF pro Nacht,,15,"Attika 2,5 Zimmer möbliert Nähe HSG Universität","105CHF pro Nacht, ursprünglich 116CHF"
16,1er Zimmer ruhig 5 Min. bis ÖV,63CHF pro Nacht,,16,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130CHF pro Nacht
17,Aufenthalt bei Elisabeth,110CHF pro Nacht,,17,"Nähe Theater, Olma, Uni, Stadtzentrum",130CHF pro Nacht
18,Leimathof Wohnung Typ I,218CHF pro Nacht,,18,"ruhige, neue Dachwohnung an Altstadt, nahe Messe","114CHF pro Nacht, ursprünglich 124CHF"
19,Parterre-Studio im Dorfkern,118CHF pro Nacht,,19,Charmante Jugendstilwohnung,"88CHF pro Nacht, ursprünglich 95CHF"
20,"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123CHF pro Nacht,,20,winzige Wohnung,93CHF pro Nacht
21,Aufenthalt bei Anton Verena,81CHF pro Nacht,,21,Exklusive Mini-Villa mit viel Platz,"190CHF pro Nacht, ursprünglich 217CHF"
22,Gemütliche möblierte Attika nähe HSG Uni & OLMA,146CHF pro Nacht,,22,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",98CHF pro Nacht
23,Ferienwohnung klein aber fein,88CHF pro Nacht,,23,Studio Trailalps: Nähe St. Gallen,"66CHF pro Nacht, ursprünglich 80CHF"
24,wunderschönes studio im dorfkern von trogen,86CHF pro Nacht,,24,"Schöne, helle, grosse Wohnung mit Balkon *SmartTV","120CHF pro Nacht, ursprünglich 131CHF"
25,Aufenthalt bei Stefan,71CHF pro Nacht,,25,1.New Apartment 2 Min vom Bahnhof,"139CHF pro Nacht, ursprünglich 158CHF"
26,Ferienwohnung Rotenwies,163CHF pro Nacht,,26,Einzigartige Lage mit Blick über die ganze Stadt,"145CHF pro Nacht, ursprünglich 161CHF"
27,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231CHF pro Nacht,,27,Atelier/Loft im Grünen Individuelles Altes Haus,126CHF pro Nacht
28,Ruhiges Wohlfühlzimmer mit eigenem Bad,"81CHF pro Nacht, ursprünglich 89CHF",,28,Helle Wohnung über St.Gallen,"102CHF pro Nacht, ursprünglich 112CHF"
29,charmante Maisonette-Wohnung,91CHF pro Nacht,,29,Schönes Studio in St. Gallen,"68CHF pro Nacht, ursprünglich 74CHF"
30,Ideal gelegene Wohnung,92CHF pro Nacht,,30,einfaches Flat,"87CHF pro Nacht, ursprünglich 104CHF"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
