27-30 Juni 2024,,,10-20 Oktober 2024,
Title,Price,,Title,Price
Aufenthalt bei Sabrina,53 CHF pro Nacht,,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
Aufenthalt bei Melanie,102 CHF pro Nacht,,Nachhaltig Wohnen ohne Kompromisse!,84 CHF pro Nacht
Aufenthalt bei Johannes,33 CHF pro Nacht,,Zur Geduld,"86 CHF pro Nacht, ursprünglich 96 CHF"
Aufenthalt bei Heinz,98 CHF pro Nacht,,Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
Gemütliche möblierte Attika nähe HSG Uni & OLMA,140 CHF pro Nacht,,"2.5 Zimmer mit Balkon Nähe Spital, Uni",96 CHF pro Nacht
"Helle Neubauwohnung (1 BR, NR)","83 CHF pro Nacht, ursprünglich 101 CHF",,Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
Leimathof Wohnung Typ I,218 CHF pro Nacht,,Sky-Town Apartment,110 CHF pro Nacht
Aufenthalt bei Pia,75 CHF pro Nacht,,Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,,TouchBed | Budget Studio,101 CHF pro Nacht
Gartenstudio in Appenzellerhaus,"77 CHF pro Nacht, ursprünglich 82 CHF",,2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
Genieße den Seeblick von der Dachterrasse aus,183 CHF pro Nacht,,winzige Wohnung,93 CHF pro Nacht
Aufenthalt bei Sonja,"81 CHF pro Nacht, ursprünglich 89 CHF",,Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
"Charmante, sehr zentral gelegene 4-Zimmerwohnung",241 CHF pro Nacht,,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"105 CHF pro Nacht, ursprünglich 115 CHF"
Aufenthalt bei Anna,66 CHF pro Nacht,,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF pro Nacht
emmi Chalet,293 CHF pro Nacht,,"Nähe Theater, Olma, Uni, Stadtzentrum",131 CHF pro Nacht
Aufenthalt bei Maya,63 CHF pro Nacht,,"Attika 2,5 Zimmer möbliert Nähe HSG Universität","105 CHF pro Nacht, ursprünglich 116 CHF"
Die charmante Ferienwohnung,88 CHF pro Nacht,,Charmante Jugendstilwohnung,"88 CHF pro Nacht, ursprünglich 95 CHF"
Traumhafte Familienferien in Landhaus im Grünen,353 CHF pro Nacht,,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
Gemütliche Loft in umgebauter Remise,152 CHF pro Nacht,,Aufenthalt bei Heinz,"81 CHF pro Nacht, ursprünglich 89 CHF"
Zentrale Ferienwohnung am Bodensee,134 CHF pro Nacht,,Schönes Studio in St. Gallen,"68 CHF pro Nacht, ursprünglich 74 CHF"
Ferienwohnung klein aber fein,88 CHF pro Nacht,,Studio Trailalps: Nähe St. Gallen,"66 CHF pro Nacht, ursprünglich 80 CHF"
Aufenthalt bei Afrim,37 CHF pro Nacht,,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",98 CHF pro Nacht
Aufenthalt bei Valentino,58 CHF pro Nacht,,1.New Apartment  2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
Aufenthalt bei Soheil,61 CHF pro Nacht,,"ruhige, neue Dachwohnung an Altstadt, nahe Messe","114 CHF pro Nacht, ursprünglich 124 CHF"
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",148 CHF pro Nacht,,Gartenstudio in Appenzellerhaus,"64 CHF pro Nacht, ursprünglich 70 CHF"
Aufenthalt bei Daniel,52 CHF pro Nacht,,Einzigartige Lage mit Blick über die ganze Stadt,"145 CHF pro Nacht, ursprünglich 161 CHF"
Ein bett im Keller/ Abstellraum,38 CHF pro Nacht,,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,"241 CHF pro Nacht, ursprünglich 263 CHF"
Aufenthalt bei Ulrich,47 CHF pro Nacht,,Charmante Wohnung im Zentrum von Goldach,"72 CHF pro Nacht, ursprünglich 78 CHF"
Aufenthalt bei Elisabeth,88 CHF pro Nacht,,Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,"126 CHF pro Nacht, ursprünglich 138 CHF"
"Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof",200 CHF pro Nacht,,Aufenthalt bei Dijana,"42 CHF pro Nacht, ursprünglich 47 CHF"
Aufenthalt bei Galia,91 CHF pro Nacht,,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF pro Nacht
Aufenthalt bei Heinz,42 CHF pro Nacht,,"Modernes, hochwertiges Studio","61 CHF pro Nacht, ursprünglich 73 CHF"
"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF pro Nacht,,Schmuckes Reiheneinfamilienhaus,"89 CHF pro Nacht, ursprünglich 97 CHF"
Aufenthalt bei Anton Verena,81 CHF pro Nacht,,ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
Aufenthalt bei Luca,62 CHF pro Nacht,,2-Zimmer-Wohnung in der Nähe von HSG,"87 CHF pro Nacht, ursprünglich 101 CHF"
Klein aber Fein in Rorschach (Nichtraucherwohnung),"94 CHF pro Nacht, ursprünglich 103 CHF",,Grosszügige Garten-Wohnung,"132 CHF pro Nacht, ursprünglich 144 CHF"
Aufenthalt bei Edmond,77 CHF pro Nacht,,Helle Wohnung über St.Gallen,"102 CHF pro Nacht, ursprünglich 112 CHF"
Aufenthalt bei Susi,51 CHF pro Nacht,,Aufenthalt bei Erola,"41 CHF pro Nacht, ursprünglich 45 CHF"
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht,,"Schöne, helle, grosse Wohnung mit Balkon *SmartTV","121 CHF pro Nacht, ursprünglich 132 CHF"
wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht,,Schöne 2 1/2 Zimmer Dachwohnung,"98 CHF pro Nacht, ursprünglich 106 CHF"
Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF pro Nacht,,Genieße den Seeblick von der Dachterrasse aus,"151 CHF pro Nacht, ursprünglich 172 CHF"
Ferienwohnung 100 m2,163 CHF pro Nacht,,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33","103 CHF pro Nacht, ursprünglich 112 CHF"
1 1/2 Zi. Appartement / Häuschen,161 CHF pro Nacht,,TouchBed | Loft mit Loggia & Whirlpool,281 CHF pro Nacht
Aufenthalt bei Franziska,"78 CHF pro Nacht, ursprünglich 90 CHF",,4 Zimmer mit Charme an bester Lage,"127 CHF pro Nacht, ursprünglich 138 CHF"
Wellness,296 CHF pro Nacht,,Cresta,"147 CHF pro Nacht, ursprünglich 169 CHF"
Aufenthalt bei Susi,51 CHF pro Nacht,,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS","117 CHF pro Nacht, ursprünglich 133 CHF"
"Gelb, gelb, gelb, gelb!",187 CHF pro Nacht,,Ferienwohnung im Fürstenland 2.OG,"100 CHF pro Nacht, ursprünglich 112 CHF"
Gemütlich im Gasthaus,104 CHF pro Nacht,,Ferien auf dem Billenberghof,149 CHF pro Nacht
Sustena- Gastwohnung am Stadtbach,169 CHF pro Nacht,,Alphäuschen am Wald inmitten Natur mit Sauna,"214 CHF pro Nacht, ursprünglich 233 CHF"
"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",123 CHF pro Nacht,,Ferienwohnung Hilty,121 CHF pro Nacht
Haus MiLu Ferienwohnung,161 CHF pro Nacht,,EH Apartments Merkur | Deluxe Master Suite,"213 CHF pro Nacht, ursprünglich 235 CHF"
Aufenthalt bei Marcel,127 CHF pro Nacht,,Attikawohnung in Arbon am See,167 CHF pro Nacht
Gemütliches Appenzeller Haus mit Aussicht,230 CHF pro Nacht,,Einzigartige Lage direkt am See mit endlosem Blick,"179 CHF pro Nacht, ursprünglich 196 CHF"
Aufenthalt bei Peter,98 CHF pro Nacht,,Säntiszimmer,44 CHF pro Nacht
Schöne Wohnung 5 Minuten vom Bodensee/Bodensee entfernt.,199 CHF pro Nacht,,einfaches Flat,"87 CHF pro Nacht, ursprünglich 104 CHF"
Zu Gast im Hecht Rehetobel,96 CHF pro Nacht,,2. Charmante Wohnung in Seenähe,67 CHF pro Nacht
Gemütliches Appenzeller Holzhaus,207 CHF pro Nacht,,spezielle Wohnung in Goldach,75 CHF pro Nacht
Aufenthalt bei Arnold,76 CHF pro Nacht,,Charmante Wohnung in Seenähe,72 CHF pro Nacht
Aufenthalt bei Luca,60 CHF pro Nacht,,Gemütliche Loft in umgebauter Remise,119 CHF pro Nacht
Aufenthalt bei Ulrich,53 CHF pro Nacht,,Aufenthalt bei Sonja,"76 CHF pro Nacht, ursprünglich 83 CHF"
Heimeliges altes Ferienhäuschen in Wald AR,133 CHF pro Nacht,,"Neue, helle Ferienwohnung mit gratis Parkplatz","116 CHF pro Nacht, ursprünglich 128 CHF"
hübsche 2 1/2 Zimmer Dachwohnung,100 CHF pro Nacht,,Studio,"85 CHF pro Nacht, ursprünglich 100 CHF"
Das Spielzimmer* am Bodensee,115 CHF pro Nacht,,Aufenthalt bei Erola,"41 CHF pro Nacht, ursprünglich 45 CHF"
Aufenthalt bei Elisabeth,110 CHF pro Nacht,,TouchBed | Budget Doppelzimmer,84 CHF pro Nacht
Bergfrieden,150 CHF pro Nacht,,Gemütliche Ferienwohnung auf Bio Bauernhof,"99 CHF pro Nacht, ursprünglich 108 CHF"
Aufenthalt bei Vionna,98 CHF pro Nacht,,Bijou in der Stadt St. Gallen,138 CHF pro Nacht
Aufenthalt bei Stefan,71 CHF pro Nacht,,"Top Luxusappartement mit Terrasse und Garten, Grat",225 CHF pro Nacht
Charmante Wohnung in Rotmonten,159 CHF pro Nacht,,wunderschönes studio im dorfkern von trogen,"78 CHF pro Nacht, ursprünglich 85 CHF"
Ruhige Lage am Bodensee,231 CHF pro Nacht,,Ferienwohnung klein aber fein,77 CHF pro Nacht
Aufenthalt bei Ulrich,61 CHF pro Nacht,,Zu Gast im Hecht Rehetobel,"70 CHF pro Nacht, ursprünglich 76 CHF"
Ort für Auszeit im Grünen,115 CHF pro Nacht,,Großes 1 Bett Wohnung. Super zentral,"76 CHF pro Nacht, ursprünglich 82 CHF"
Aufenthalt bei Vanessa,98 CHF pro Nacht,,Aufenthalt bei Nino,"81 CHF pro Nacht, ursprünglich 88 CHF"
Aufenthalt bei Luca,60 CHF pro Nacht,,Aufenthalt bei Maya,"57 CHF pro Nacht, ursprünglich 63 CHF"
Aufenthalt bei Anton Verena,80 CHF pro Nacht,,Aufenthalt bei Erola,45 CHF pro Nacht
Fühl dich wie zuhause,196 CHF pro Nacht,,Aufenthalt bei Varathapandi,36 CHF pro Nacht
Loft63 am Bodensee,"258 CHF pro Nacht, ursprünglich 314 CHF",,2.5 Zimmer Dachwohnung mit Gartensitzplatz,121 CHF pro Nacht
Aufenthalt bei Ruth,69 CHF pro Nacht,,Moderne Einliegerwohnung auf Biobauernhof,"108 CHF pro Nacht, ursprünglich 118 CHF"
Gemütliche Wohnung in Horn am See,207 CHF pro Nacht,,Aufenthalt bei Erola,"43 CHF pro Nacht, ursprünglich 47 CHF"
Apartment Seeblick in Arbon von Swisspartments,165 CHF pro Nacht,,TouchBed | Wohnung,162 CHF pro Nacht
Zentrale Wohnung mit Balkon,119 CHF pro Nacht,,TouchBed | Budget Apartment,146 CHF pro Nacht
Aufenthalt bei Ofelia,111 CHF pro Nacht,,Aufenthalt bei Soheil,63 CHF pro Nacht
Aufenthalt bei Sheena,104 CHF pro Nacht,,Aufenthalt bei Elisabeth,77 CHF pro Nacht
Aufenthalt bei Gabriele,63 CHF pro Nacht,,Alpen oase | *Netflix,"109 CHF pro Nacht, ursprünglich 118 CHF"
Aufenthalt bei Ibrahim,98 CHF pro Nacht,,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte","91 CHF pro Nacht, ursprünglich 109 CHF"
Aufenthalt bei Maya,104 CHF pro Nacht,,gemütliche Dachwohnung,"97 CHF pro Nacht, ursprünglich 106 CHF"
Apartment Säntisblick in Arbon von Swisspartments,165 CHF pro Nacht,,Aufenthalt bei Susi,"42 CHF pro Nacht, ursprünglich 46 CHF"
"Natur Pur geniessen mit Fahrrad, Kanu, zu Fuss",138 CHF pro Nacht,,Aufenthalt bei Heinz,42 CHF pro Nacht
"Bei Arnold's, Rehetobel, Anbauwohnung",134 CHF pro Nacht,,2-Zimmer - Studio - sehr zentral City,93 CHF pro Nacht
Aufenthalt bei Claudio,"67 CHF pro Nacht, ursprünglich 79 CHF",,"Stilvolle 2,5 Zimmer Wohnung",123 CHF pro Nacht
Tiny House Nähe Sitter,142 CHF pro Nacht,,"Modernes, hochwertiges Studio","90 CHF pro Nacht, ursprünglich 98 CHF"
Idyllischer Bauwagen auf dem Bio Bauernhof,125 CHF pro Nacht,,Aufenthalt bei Franziska,"62 CHF pro Nacht, ursprünglich 74 CHF"
Aufenthalt bei Marlies,64 CHF pro Nacht,,TouchBed | Großes 3-BR-Apartment Erdgeschoss,277 CHF pro Nacht
Ferienwohnung Hackbere,213 CHF pro Nacht,,TouchBed | Superior Studio,128 CHF pro Nacht
Pavillon direkt am Bodensee!,202 CHF pro Nacht,,Aufenthalt bei Gabrielle,58 CHF pro Nacht
Aufenthalt bei Ulrich,57 CHF pro Nacht,,Aufenthalt bei Luca,67 CHF pro Nacht
*Star* Apartment mit Panoramasicht*,499 CHF pro Nacht,,habu Apartments bei OLMA % gemütlicher Aufenthalt,207 CHF pro Nacht
Aufenthalt bei Wild,115 CHF pro Nacht,,"Charmante, sehr zentral gelegene 4-Zimmerwohnung","179 CHF pro Nacht, ursprünglich 214 CHF"
