Preis,Name
52,Engelburg Zuhause mit Aussicht
218,Leimathof Wohnung Typ I
102,"Central, Cozy Home near HSG/FH/Olma-Area/Hospital"
116,Charmante Wohnung auf dem Lande und doch zentral
77,Gartenstudio in Appenzellerhaus
83,1 Zimmerwohnung ohne Küche mitten im Zentrum
122,"Schöne, helle, grosse Wohnung mit Balkon *SmartTV"
98,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil
75,Nah an der Natur und ÖV vor der Tür
241,"Charmante, sehr zentral gelegene 4-Zimmerwohnung"
264,Penthouse Apartment mit 250m2 Terrasse
277,habu Apartments bei OLMA % gemütlicher Aufenthalt
66,Sonniges Privatzimmer ( in der Nähe der Seen)
293,emmi Chalet
150,Ferienwohnung im Fürstenland 2.OG
116,Charmante Wohnung auf dem Lande und doch zentral
229,Leimathof Wohnung Typ I (LZ)
170,Residenz Arbon von Swisspartments
353,Traumhafte Familienferien in Landhaus im Grünen
94,Ganze Wohnung mitten in der Altstadt von Arbon
147,"Attika 2,5 Zimmer möbliert Nähe HSG Universität"
86,wunderschönes studio im dorfkern von trogen
134,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33"
37,Komfortables Einzelzimmer
144,Gemütliche möblierte Attika nähe HSG Uni &amp; OLMA
98,Idyllisches Plätzchen in Thurgauer Weiler
100,hübsche 2 1/2 Zimmer Dachwohnung
115,Ort für Auszeit im Grünen
88,"Zwei helle Zimmer, Küche und Bad"
61,Privatzimmer - Tolle Aussicht auf den See
231,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni
88,"Zwei helle Zimmer, Küche und Bad"
62,"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2"
110,Gemütliche Unterkunft am ruhigen Stadtrand
51,Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik
125,Idyllischer Bauwagen auf dem Bio Bauernhof
264,Leimathof Attika
78,Zimmer mit traumhaftem Ausblick
77,Komfortables Zimmer/Bad &amp; Frühstück
146,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS"
81,Schönes Haus an ruhiger Lage (Zimmer 1)
96,Zu Gast im Hecht Rehetobel
258,Loft63 am Bodensee
142,Tiny House Nähe Sitter
159,Charmante Wohnung in Rotmonten
42,Säntiszimmer
123,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte"
60,"Privatzimmer St Gallen Olma, Uni, HSG, FHS3"
51,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN
119,Zentrale Wohnung mit Balkon
161,Haus MiLu Ferienwohnung
187,"Gelb, gelb, gelb, gelb!"
63,"Helles, grosses Dachzimmer mit privater Terrasse"
111,Altstadtfeeling am See.
47,Casa Siddhartha - „Hemingway“
69,Im Grünen nahe des Zentrum (Familienzimmer 2+2)
61,Casa Siddhartha - R. Musil
160,Einzelzimmer - Hotel de charme Römerhof
71,Das Haus mit dem Schwein
52,"Schönes Zimmer, zentral gelegen"
169,Sustena- Gastwohnung am Stadtbach
207,Gemütliches Appenzeller Holzhaus
69,Im Grünen nahe des Zentrum (Familienzimmer 2+2)
104,Doppelzimmer ruhige Lage nahe ÖV
199,Schöne Wohnung 5 Minuten vom Bodensee/Bodensee entfernt.
182,Doppelzimmer 'Charme' - Hotel de charme Römerhof
94,Klein aber Fein in Rorschach (Nichtraucherwohnung)
80,Schönes Haus an ruhiger Lage (Zimmer 2)
86,Unterkunft 300m zum Bodensee
150,Bergfrieden
104,Doppelzimmer ruhige Lage nahe ÖV
91,Unterkünft 2 Minuten von See
146,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS"
134,Unsere Wohnung eignet sich für die Unterkunft
38,Ein bett im Keller/ Abstellraum
146,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS"
200,"Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof"
76,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah"
115,Das Spielzimmer* am Bodensee
252,Leimathof Wohnung Typ II (LZ)
265,Zentrale 3 1/2-grosse Wohnung 2.OG
230,Gemütliches Appenzeller Haus mit Aussicht
98,Pepenezia Zimmer: Koje
104,Gemütlich im Gasthaus
133,Heimeliges altes Ferienhäuschen in Wald AR
