Title,Price in CHF
1 Zimmerwohnung ohne Küche mitten im Zentrum,83
Leimathof Wohnung Typ I,218
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102
Wunderschönes Studio inmitten der Natur,127
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",50
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98
Gartenstudio in Appenzellerhaus,83
Studio Pfauen Appenzell,65
Die charmante Ferienwohnung,87
Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231
Nah an der Natur und ÖV vor der Tür,75
"Herisau, Zuhause mittendrin und trotzdem ruhig",58
Luxuriöses Hotelzimmer im Grünen,103
Charmante Wohnung auf dem Lande und doch zentral,116
Ferienwohnung Rotenwies,163
1er Zimmer ruhig 5 Min. bis ÖV,63
Gemütliche Unterkunft am ruhigen Stadtrand,110
"Haus mit Charakter, gartenbestückt und im Dorf",186
Gemütliche Loft in umgebauter Remise,152
"Helle Neubauwohnung (1 BR, NR)",101
Komfortables Einzelzimmer,37
Zimmer in St. Gallen ruhig gelegen,33
Ein bett im Keller/ Abstellraum,38
Komfortables Zimmer/Bad & Frühstück,77
Wunderschönes privates Zimmer mit eigenem Bad,150
Einladendes Bed&Breakfast mit Parkplatz,115
"Mini-Studio 1 Pers. in Villa, nächster Hauptbahnhof",200
Gästezimmer in historischem Stall,117
Schöne Einzimmerwohnung,83
Fühl dich wie zuhause,196
Das Haus mit dem Schwein,71
Traumhafte Familienferien in Landhaus im Grünen,518
Zimmer mit traumhaftem Ausblick,98
Gemütliche möblierte Attika nähe HSG Uni & OLMA,140
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",146
Casa Siddhartha - „Hemingway“,47
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62
Ruhiges Zimmer in ländlicher Umgebung nahe SG,58
B & B Appenzellerland,98
Ruhiges Wohlfühlzimmer mit eigenem Bad,89
Sonnenberg Lodge,354
Schönes Haus an ruhiger Lage (Zimmer 1),81
"Privatzimmer im Baudenkmal, zentral gelegen",54
Ideal gelegene Wohnung,92
Ferienwohnung Gaiserau,175
Ferienwohnung im Herzen von Appenzell,151
Appenzeller City Studio inkl. Parkplatz,103
"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146
"Komplett neu renovierte, heimelige Ferienwohnung",115
Gemütliches Appenzeller Haus mit Aussicht,230
"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147
"Helles, grosses Dachzimmer mit privater Terrasse",63
"Casa Siddhartha - ""H.Hesse""",53
Ruhige Lage am Bodensee,231
"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69
wunderschönes studio im dorfkern von trogen,86
"Privatzimmer in St. Gallen HSG, Olma, Uni, FHS4",60
Ort für Auszeit im Grünen,115
Großzügige Wohnung in Herisau,128
In der Natur auftanken,45
Auszeit im Grünen mit Sicht auf den Alpstein,156
Zentrale Wohnung mit Balkon,119
Schönes Haus an ruhiger Lage (Zimmer 2),80
Gästezimmer in klassizistischem Stall,112
Vogelnest,83
Charmante Wohnung in Rotmonten,159
Liebevoll eingerichtetes Studio nahe Appenzell,74
Säntis Gold,156
Doppelzimmer ruhige Lage nahe ÖV,104
hübsche 2 1/2 Zimmer Dachwohnung,100
Gateway to Appenzell und Bodensee,120
Casa Siddhartha - R. Musil,61
Sustena- Gastwohnung am Stadtbach,169
Gemütliches Zimmer auf dem Demeterhof.,83
Casa Schwellbrunn - Stilvolle Dachwohnung,177
Gemütliches Appenzeller Holzhaus,207
Zimmer mit Bad im Herzen von Appenzell,115
Einladendes Bed&Breakfast in Teufen/AR,92
Ferienwohnung Windegg im Appenzellerland,204
Haus mit Schwimmteich,127
Ruhiges Zimmer mit Sitzplatz,79
"2,5 km von der Stadt St. Gallen entfernt",129
"Modernes Gästezimmer ""Rüti"", mit Bergsicht!",93
"Große Wohnung , alles ausgestattet",161
OG3: Ueber den Dächern von Appenzell - on the top,267
Ferienwohnung im idyllischen Appenzellerland (AI),144
5 LuxuryApartment★★Kostenloser Parkplatz★Netflix★in der Nähe der Stadt,361
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS1",54
Säntiszimmer,42
Gestalte das Apartment Appenzell Dorf,323
Casa Siddhartha - Th. Mann,57
Loft in der Natur mit Gartenzugang und Sauna,241
3 Zimmer Appartement,158
Zwei historische Zimmer bei Rathaus und Kirche,121
"Ruhiges, Privates Zimmer im Speicher",104
"Modernes Gästezimmer ""Säntis"", mit Bergsicht!",93
"YELLOW INN B 24 nähe Uni, Olma, Spital, FHS",146
"Modernes Gästezimmer ""Halde"", an ruhiger Lage",93

Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,60
Einzigartige Lage mit Blick über die ganze Stadt,161
"2.5 Zimmer mit Balkon Nähe Spital, Uni",97
Zur Geduld,97
2.New Apartment 2 Min vom Bahnhof,158
1 Zimmerwohnung ohne Küche mitten im Zentrum,75
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,89
Sky-Town Apartment,110
"2.5 Zimmer, modern, ruhig und zentrumsnah",124
"ruhige, neue Dachwohnung an Altstadt, nahe Messe",124
Kernsanierte Wohnung nähe Bahnhof und Zentrum,130
"Top Auszeit, Ferienhaus mit Bergblick",142
Exklusive Mini-Villa mit viel Platz,217
Atelier/Loft im Grünen Individuelles Altes Haus,126
2.5 Zimmer Dachwohnung mit Gartensitzplatz,121
Ferienhaus Sennastübli,116
GöttiFritz - 360Grad Weitsicht mit Frühstück,225
Studio mit Charme und Aussicht,69
Schöne Wohnung im Herzen von Herisau bis 6 Gäste,180
Studio mit Panoramaaussicht,69
1 Zimmer in einer gemütlichen Wohnung,50
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",100
"Modernes, hochwertiges Studio",73
kleines ruhiges Dach-Zimmer,45
TouchBed | Budget Studio,101
Neu möblierte schöne Wohnung im Zentrum *AppleTV*,117
winzige Wohnung,93
Grosszügige Wohnung in der Stadt,160
Gemütliche Wohnung in St. Gallen,97
gemütliches Dach-Zimmer,45
Appenzellerland,131
Fühlen sie sich wie zu Hause,47
Großes Privatzimmer in St.Gallen (in der Nähe der Seen),63
Gästezimmer in historischem Stall,105
Moderne Ruheoase auf entlegenem Hügel,205
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",117
Schönes Studio in St. Gallen,74
Studio Trailalps: Nähe St. Gallen,80
"Nähe Theater, Olma, Uni, Stadtzentrum",129
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",50
Charmante Wohnung im Zentrum von Goldach,79
Bungalow mit Traumaussicht LOMA BUENA VISTA,130
Easy Room,45
Ferienwohnung klein aber fein,77
spezielle Wohnung in Goldach,75
"Gemütliches Zimmer in einem 4,5 Zimmer",54
Cresta,170
"Schöne, helle, grosse Wohnung mit Balkon *SmartTV",134
"Zwei helle Zimmer, Küche und Bad",77
Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,140
*Ferienwohnung 5 Seeruhe*,131
Charmante Wohnung in Seenähe,73
Bauernhaus mit Bildhauer Ambiente,85
Wunderschönes privates Zimmer mit eigenem Bad,164
*Ferienwohnung 2 Seesitz*,108
Schöne 2 1/2 Zimmer Dachwohnung,106
Gemütliche kleine 1-Zimmer-Wohnung in Heiden,83
Traumhaftes Haus nahe Bodensee,112
Helle Wohnung über St.Gallen,112
Appenzeller Haus - Paradies mit Aussicht,156
"Charmante, sehr zentral gelegene 4-Zimmerwohnung",214
Schöne 2 Zimmer Wohnung,123
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,263
einfaches Zimmer,47
Komfortables Zimmer/Bad & Frühstück,88
2. Charmante Wohnung in Seenähe,69
s'Höckli - Appenzeller Chalet mit Seesicht,176
Ideal gelegene Wohnung,83
Gartenstudio in Appenzellerhaus,72
Ein bett im Keller/ Abstellraum,33
Sonniges Privatzimmer ( in der Nähe der Seen),64
Idyllische Übernachtung,118
BuddhApartment mit OutDoorPool,133
Alpen-Oase | Netflix | Natur,63
1.New Apartment 2 Min vom Bahnhof,158
Charmante Jugendstilwohnung,95
Moderne Einliegerwohnung auf Biobauernhof,118
Genieße den Seeblick von der Dachterrasse aus,175
Zimmer III/III direkt am Bahnhof St.Gallen,89
Großes 1 Bett Wohnung. Super zentral,82
*Ferienwohnung 1 Ruhepol*,108
Zimmer mit traumhaftem Ausblick,77
TouchBed | Budget Doppelzimmer,84
gemütliche Dachwohnung,106
einfaches Flat,104
Feriengenuss im Appenzellerland,144
2-Zimmer-Wohnung in der Nähe von HSG,101
*Ferienwohnung 4 mit Seesicht*,108
Studio mit sensationellem Ausblick,96
ruhiges Tiny House in der Nähe des Waldes,121
charmante Maisonette-Wohnung,91
Gemütliches Ferienstudio,79
TouchBed | Großes 3-BR-Apartment Erdgeschoss,277
Ferienhaus mit Charme an traumhafter Lage,124
Einzigartige Lage direkt am See mit endlosem Blick,196
Yoli's Ferienwohnung,105
Gemütliche Ferienwohnung Hirschberg12 für 6 Gäste,129
Traumhafte Familienferien in Landhaus im Grünen,341
"Gelb, gelb, gelb, gelb!",144
Appenzellerhaus am Bach,189
