27.06-30.062024;
title;price
1 Zimmerwohnung ohne Küche mitten im Zentrum;83 CHF pro Nacht
Schöne, helle,  grosse Wohnung mit Balkon *SmartTV;122 CHF pro Nacht
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;98 CHF pro Nacht
Engelburg Zuhause mit Aussicht;52 CHF pro Nacht
Zimmer in St. Gallen ruhig gelegen;34 CHF pro Nacht
Central, Cozy Home near HSG/FH/Olma-Area/Hospital;102 CHF pro Nacht
Histor. grossbürgerl. Wohnhaus, ruhige Lage;51 CHF pro Nacht
Helle Neubauwohnung (1 BR, NR);83 CHF pro Nacht, ursprünglich 101 CHF
Attika 2,5 Zimmer möbliert Nähe HSG Universität;147 CHF pro Nacht
Komfortables Einzelzimmer;37 CHF pro Nacht
Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33;134 CHF pro Nacht
Nah an der Natur und ÖV vor der Tür;75 CHF pro Nacht
Leimathof Wohnung Typ I;218 CHF pro Nacht
Studio Pfauen Appenzell;65 CHF pro Nacht
Die charmante Ferienwohnung;86 CHF pro Nacht
Herisau, Zuhause mittendrin und trotzdem ruhig;58 CHF pro Nacht
Gartenstudio in Appenzellerhaus;77 CHF pro Nacht, ursprünglich 82 CHF
Genieße den Seeblick von der Dachterrasse aus;183 CHF pro Nacht
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;274 CHF pro Nacht
Studio mit Charme und Aussicht;81 CHF pro Nacht
Studio mit Panoramaaussicht;81 CHF pro Nacht
Adlerhorst mit Hotpot;198 CHF pro Nacht
Zeit;83 CHF pro Nacht, ursprünglich 89 CHF
Sonniges Privatzimmer ( in der Nähe der Seen);66 CHF pro Nacht
Moderne Einliegerwohnung auf Biobauernhof;128 CHF pro Nacht
habu Apartments bei OLMA % gemütlicher Aufenthalt;319 CHF pro Nacht
Gemütliche Wohnung über einer Bäckerei;81 CHF pro Nacht
Grosszügiges denkmalgeschütztes Appenzellerhaus;481 CHF pro Nacht
Penthouse Apartment mit 250m2 Terrasse;264 CHF pro Nacht
Studio mit sensationellem Ausblick;106 CHF pro Nacht
Charmante, sehr zentral gelegene 4-Zimmerwohnung;241 CHF pro Nacht
spezielle Wohnung in Goldach;116 CHF pro Nacht
Entspannen & geniessen in geschmackvoller Wohnung;108 CHF pro Nacht, ursprünglich 126 CHF
2-Zimmer - Studio - sehr zentral City;167 CHF pro Nacht
Appenzellerhaus am Bach;211 CHF pro Nacht
Perfekte Familienferienwohnung!;124 CHF pro Nacht
Luxuriöses Hotelzimmer im Grünen;103 CHF pro Nacht
Wunderschönes Studio inmitten der Natur;117 CHF pro Nacht, ursprünglich 127 CHF
Gemütliche Unterkunft am ruhigen Stadtrand;110 CHF pro Nacht
Gemütliche möblierte Attika nähe HSG Uni & OLMA;144 CHF pro Nacht
Komfortables Zimmer/Bad & Frühstück;77 CHF pro Nacht
Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni;231 CHF pro Nacht
Studio über Bäckerei;71 CHF pro Nacht
1er Zimmer ruhig 5 Min. bis ÖV;63 CHF pro Nacht
Charmante Wohnung auf dem Lande und doch zentral;116 CHF pro Nacht
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2;62 CHF pro Nacht
Schönes Haus an ruhiger Lage (Zimmer 1);81 CHF pro Nacht
Zimmer mit traumhaftem Ausblick;78 CHF pro Nacht, ursprünglich 90 CHF
Privatzimmer im Baudenkmal, zentral gelegen;54 CHF pro Nacht
Traumhaftes Haus nahe Bodensee;111 CHF pro Nacht, ursprünglich 135 CHF
Das Haus mit dem Schwein;71 CHF pro Nacht
wunderschönes studio im dorfkern von trogen;86 CHF pro Nacht
Ideal gelegene Wohnung;92 CHF pro Nacht
Ferienwohnung klein aber fein;88 CHF pro Nacht
2 Zimmer Appartement mit Bergblick;121 CHF pro Nacht
Ferienwohnung  Rotenwies;163 CHF pro Nacht
Ruhiges Wohlfühlzimmer mit eigenem Bad;81 CHF pro Nacht, ursprünglich 89 CHF
Parterre-Studio im Dorfkern;118 CHF pro Nacht
Leimathof Attika;264 CHF pro Nacht
YELLOW INN 7 nähe Uni, Olma, Spital, FHS;146 CHF pro Nacht
Privatzimmer St Gallen Olma, UNI, HSG, FHS3;60 CHF pro Nacht
Helles, grosses Dachzimmer mit privater Terrasse;63 CHF pro Nacht
Ruhiges Zimmer in ländlicher Umgebung nahe SG;58 CHF pro Nacht
Privatzimmer - Tolle Aussicht auf den See;61 CHF pro Nacht
Zentrale Ferienwohnung am Bodensee;134 CHF pro Nacht
Appenzeller City  Studio  inkl. Parkplatz;103 CHF pro Nacht
Zentrale Wohnung mit Balkon;119 CHF pro Nacht
Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof;200 CHF pro Nacht
Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte;123 CHF pro Nacht
Im Grünen nahe des Zentrum (Familienzimmer 2+2);69 CHF pro Nacht
Casa Siddhartha - R. Musil;61 CHF pro Nacht
Schöne Einzimmerwohnung;83 CHF pro Nacht
