House,Price
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,97 CHF 
Zur Geduld,101 CHF 
"2.5 Zimmer mit Balkon Nähe Spital, Uni",110 CHF 
2.New Apartment 2 Min vom Bahnhof,124 CHF 
Charmante Jugendstilwohnung,126 CHF 
Studio mit Charme und Aussicht,281 CHF 
TouchBed | Budget Studio,149 CHF 
Sky-Town Apartment,121 CHF 
"2.5 Zimmer, modern, ruhig und zentrumsnah",133 CHF 
Atelier/Loft im Grünen Individuelles Altes Haus,75 CHF 
Ganze Wohnung mitten in der Altstadt von Arbon,130 CHF 
ruhiges Tiny House in der Nähe des Waldes,119 CHF 
2.5 Zimmer Dachwohnung mit Gartensitzplatz,121 CHF 
Gartenstudio in Appenzellerhaus,100 CHF 
Studio Trailalps: Nähe St. Gallen,129 CHF 
Ruhiges Wohlfühlzimmer mit eigenem Bad,73 CHF 
Charmante Wohnung in Seenähe,93 CHF 
Neu möblierte schöne Wohnung im Zentrum *AppleTV*,75 CHF 
"Modernes, hochwertiges Studio",69 CHF 
Moderne Einliegerwohnung auf Biobauernhof,77 CHF 
"Schöne, helle, grosse Wohnung mit Balkon *SmartTV",44 CHF 
1er Zimmer ruhig 5 Min. bis ÖV,77 CHF 
Säntiszimmer,84 CHF 
"Zwei helle Zimmer, Küche und Bad",214 CHF 
Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,138 CHF 
TouchBed | Budget Doppelzimmer,203 CHF 
"Modernes, hochwertiges Studio",162 CHF 
"Gelb, gelb, gelb, gelb!",277 CHF 
TouchBed | Wohnung,97 CHF 
kleines ruhiges Dach-Zimmer,224 CHF 
TouchBed | Großes 3-BR-Apartment Erdgeschoss,149 CHF 
Wellness,64 CHF 
Gemütliche Wohnung in St. Gallen,45 CHF 
"Top Luxusappartement mit Terrasse und Garten, Grat",146 CHF 
Yoli's Ferienwohnung,128 CHF 
Altstadt Dachwohnung,230 CHF 
Unterkunft 300m zum Bodensee,42 CHF 
Säntiszimmer,50 CHF 
