Date Range,Short Description,Price per Night
2024-06-27 – 2024-06-30,1 room apartment without a kitchen right in the center,83 CHF 
2024-06-27 – 2024-06-30,Stay with Johannes,33 CHF 
2024-06-27 – 2024-06-30,Cozy furnished attic near HSG Uni & OLMA,140 CHF 
2024-06-27 – 2024-06-30,"Bright new apartment (1 BR, NR)",83 CHF 
2024-06-27 – 2024-06-30,Stay with Afrim,37 CHF 
2024-06-27 – 2024-06-30,Stay with Melanie,102 CHF 
2024-06-27 – 2024-06-30,Studio with charm and views,81 CHF 
2024-06-27 – 2024-06-30,Studio with a panoramic view,81 CHF 
2024-06-27 – 2024-06-30,Eco-friendly rooftop apart. St. Gallen center,274 CHF 
2024-06-27 – 2024-06-30,Loving little apartment near St. Gallen Uni,106 CHF 
2024-06-27 – 2024-06-30,GöttiFritz - 360Grad Views with Breakfast,254 CHF 
2024-06-27 – 2024-06-30,Luxury Swiss Farmhouse (umgebaut),156 CHF 
2024-06-27 – 2024-06-30,"2.5 rooms, modern, quiet and close to the center",181 CHF 
2024-06-27 – 2024-06-30,"2 rooms with balcony, Netflix and rental bikes",140 CHF 
2024-06-27 – 2024-06-30,Exclusive mini villa with plenty of space,276 CHF 
2024-06-27 – 2024-06-30,Adlerhorst with hotpot,194 CHF 
2024-06-27 – 2024-06-30,Stay with Erola,53 CHF 
2024-06-27 – 2024-06-30,Time,83 CHF 
2024-06-27 – 2024-06-30,"2.5 rooms with balcony near Spital, Uni",169 CHF 
2024-06-27 – 2024-06-30,Stay with Erola,53 CHF 
2024-06-27 – 2024-06-30,TouchBed | Budget Twin Room,126 CHF 
2024-06-27 – 2024-06-30,CityLodge St.Gallen - Large Double Room,114 CHF 
2024-06-27 – 2024-06-30,2. Charming apartment near lakes,84 CHF 
2024-06-27 – 2024-06-30,Your home in Herisau,208 CHF 
2024-06-27 – 2024-06-30,Modern in-law on organic farm,128 CHF 
2024-06-27 – 2024-06-30,Cozy apartment above a bakery,81 CHF 
2024-06-27 – 2024-06-30,habu apartments bei OLMA % cosy stay,279 CHF 
2024-06-27 – 2024-06-30,Generous historical protected Appenzell house,481 CHF 
2024-06-27 – 2024-06-30,"Ferienhaus Osteregg ""Hüsli",619 CHF 
2024-06-27 – 2024-06-30,Stay with Markus,128 CHF 
2024-06-27 – 2024-06-30,Stay with Heinz,98 CHF 
2024-06-27 – 2024-06-30,Stay with Luca,62 CHF 
2024-06-27 – 2024-06-30,Charming apartment in the countryside yet central,116 CHF 
2024-06-27 – 2024-06-30,Leimathof Apartment type I,218 CHF 
2024-06-27 – 2024-06-30,Stay with Katharina,50 CHF 
2024-06-27 – 2024-06-30,"Private 2.5 room WHG with balcony, Mama Home W33",134 CHF 
2024-06-27 – 2024-06-30,Large apartment with roof terrace and lake view,183 CHF 
2024-06-27 – 2024-06-30,Stay with Pia,75 CHF 
2024-06-27 – 2024-06-30,Studio Pfauen Appenzell,65 CHF 
2024-06-27 – 2024-06-30,Charming Vacation Rental,87 CHF 
2024-06-27 – 2024-06-30,Stay with Katrin,58 CHF 
2024-06-27 – 2024-06-30,Garden studio in Appenzellerhaus,77 CHF 
2024-06-27 – 2024-06-30,Luxurious hotel room in the countryside,103 CHF 
2024-06-27 – 2024-06-30,Beautiful Art Nouveau apartment near Olma and University,231 CHF 
2024-06-27 – 2024-06-30,Fantastic house near Lake Constance,111 CHF 
2024-06-27 – 2024-06-30,Modern attic apartment close HSG University & OLMA,147 CHF 
2024-06-27 – 2024-06-30,Beautiful studio surrounded by nature,119 CHF 
2024-06-27 – 2024-06-30,Stay with Edmond,77 CHF 
2024-06-27 – 2024-06-30,Stay with Franziska,86 CHF 
2024-06-27 – 2024-06-30,Leimathof attic apartment,264 CHF 
2024-06-27 – 2024-06-30,Ground floor studio in the center of the village,118 CHF 
2024-06-27 – 2024-06-30,Airy studio @sunehus.ch,123 CHF 
2024-06-27 – 2024-06-30,2 room apartment with mountain view,121 CHF 
2024-06-27 – 2024-06-30,Stay with Katharina,54 CHF 
2024-06-27 – 2024-06-30,"House with character, garden stocked and in the village",186 CHF 
2024-06-27 – 2024-06-30,Lovely studio,83 CHF 
2024-06-27 – 2024-06-30,Dreamlike family holidays in country house,518 CHF 
2024-06-27 – 2024-06-30,Ferienwohnung  Rotenwies,163 CHF 
2024-06-27 – 2024-06-30,Central apartment on Lake Constance,134 CHF 
2024-06-27 – 2024-06-30,pretty 2 1/2 room attic,100 CHF 
2024-06-27 – 2024-06-30,Stay with Elisabeth,110 CHF 
2024-06-27 – 2024-06-30,Stay with Valentino,58 CHF 
2024-06-27 – 2024-06-30,Alpaca Farm Holiday,200 CHF 
2024-06-27 – 2024-06-30,Stay with Maya,63 CHF 
2024-06-27 – 2024-06-30,charming flat in a typical appenzellerhouse,86 CHF 
2024-06-27 – 2024-06-30,Stay with Soheil,61 CHF 
2024-06-27 – 2024-06-30,Appenzeller City  Studio  Included Parking,103 CHF 
2024-06-27 – 2024-06-30,"YELLOW INN 7 near Uni, Olma, Hospital, FHS",146 CHF 
2024-06-27 – 2024-06-30,Stay with Andy,92 CHF 
2024-06-27 – 2024-06-30,Stay with Anton Verena,81 CHF 
2024-06-27 – 2024-06-30,Stay with Stefan,71 CHF 
2024-06-27 – 2024-06-30,Cosy loft in a converted building,152 CHF 
2024-06-27 – 2024-06-30,Stay with Ulrich,61 CHF 
2024-06-27 – 2024-06-30,Apartment small but nice,88 CHF 
2024-06-27 – 2024-06-30,Stay with Ulrich,47 CHF 
2024-06-27 – 2024-06-30,A bed in the basement/ storage room,38 CHF 
2024-06-27 – 2024-06-30,Stay with Luca,60 CHF 
2024-06-27 – 2024-06-30,Stay with Sonja,81 CHF 
2024-06-27 – 2024-06-30,Central apartment with balcony,119 CHF 
2024-06-27 – 2024-06-30,"Mini-Studio 1  Pers. in Villa, next main station",200 CHF 
2024-06-27 – 2024-06-30,Charming apartment in Rotmonten,159 CHF 
2024-06-27 – 2024-06-30,Stay with Laura,45 CHF 
2024-06-27 – 2024-06-30,Stay with Ruth,69 CHF 
2024-06-27 – 2024-06-30,Stay with Heinz,42 CHF 
2024-06-27 – 2024-06-30,Stay with Gabriele,63 CHF 
2024-06-27 – 2024-06-30,Central 3 1/2 large apartment 2nd floor,265 CHF 
2024-06-27 – 2024-06-30,charming duplex apartment,91 CHF 
2024-06-27 – 2024-06-30,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146 CHF 
2024-06-27 – 2024-06-30,Stay with Ulrich,53 CHF 
2024-06-27 – 2024-06-30,5?LuxuryApartment?Free Parking?Netflix?near City,361 CHF 
2024-06-27 – 2024-06-30,Small but exquisite in Rorschach (non-smoking apartment),94 CHF 
2024-06-27 – 2024-06-30,3 room apartment,135 CHF 
2024-06-27 – 2024-06-30,Huge apartment in Herisau,128 CHF 
2024-06-27 – 2024-06-30,Leimathof Apartment type I,218 CHF 
2024-06-27 – 2024-06-30,Wellnessoase,296 CHF 
2024-06-27 – 2024-06-30,Charming holiday home in a fantastic location,148 CHF 
2024-06-27 – 2024-06-30,s' Höckli - Appenzeller Chalet with lake view,175 CHF 
2024-06-27 – 2024-06-30,Paradise at the border triangle & Free parking,145 CHF 
2024-06-27 – 2024-06-30,Entire apartment right in old Arbon old town,94 CHF 
2024-06-27 – 2024-06-30,Our flat suitable for accommodation,134 CHF 
2024-10-10 – 2024-10-20,Cosy central  1-room studio at Gertrud Schlössli,54 CHF 
2024-10-10 – 2024-10-20,Studio with charm and views,58 CHF 
2024-10-10 – 2024-10-20,Newly furnished beautiful apartment in the center *AppleTV*,107 CHF 
2024-10-10 – 2024-10-20,Sky-Town Apartment,110 CHF 
2024-10-10 – 2024-10-20,For patience,87 CHF 
2024-10-10 – 2024-10-20,Studio with a panoramic view,58 CHF 
2024-10-10 – 2024-10-20,Spacious apartment in the city,147 CHF 
2024-10-10 – 2024-10-20,"2.5 rooms with balcony near Spital, Uni",97 CHF 
2024-10-10 – 2024-10-20,2. New apartment 2 min from station,139 CHF 
2024-10-10 – 2024-10-20,1 room apartment without a kitchen right in the center,75 CHF 
2024-10-10 – 2024-10-20,TouchBed | Budget Studio,101 CHF 
2024-10-10 – 2024-10-20,tiny flat,93 CHF 
2024-10-10 – 2024-10-20,"2.5 rooms, modern, quiet and close to the center",124 CHF 
2024-10-10 – 2024-10-20,"quiet, new attic apartment on the old town, near Messe",114 CHF 
2024-10-10 – 2024-10-20,"Close to theater, Olma, university, city center",129 CHF 
2024-10-10 – 2024-10-20,Modern attic apartment close HSG University & OLMA,106 CHF 
2024-10-10 – 2024-10-20,Charming Art Nouveau apartment,88 CHF 
2024-10-10 – 2024-10-20,Eco-friendly rooftop apart. St. Gallen center,241 CHF 
2024-10-10 – 2024-10-20,Core renovated apartment near train station and center,130 CHF 
2024-10-10 – 2024-10-20,"Beautiful, bright, large apartment with balcony *SmartTV",122 CHF 
2024-10-10 – 2024-10-20,Unique location with views all over the city,145 CHF 
2024-10-10 – 2024-10-20,"2 rooms with balcony, Netflix and rental bikes",100 CHF 
