link,name,price,avg_rating,number_ratings,description
https://www.airbnb.com/experiences/742435?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,World Trade Center Tour & Museum Ticket,64 ,5,1,"This is a dynamic experience conducted by native New Yorkers who were here on that fateful day, where heroes rose when many fell. Join us on this journey from the initial strike to the charge of the first responders to the rebirth of the city. \u003cbr />\u003cbr />Above all, this is an epic story of the Dragon Fighters of Ladder Six, the only firehouse that sustained no casualties and was buried by the collapsed of the North Tower. Along with expert narration, this tour covers key pivotal moments with vivid photos capturing the emotions and valor of this city’s first responders. \u003cbr />\u003cbr />The second portion of this package is an entry ticket into the 9/11 Museum for a self-guided experience. The 9/11 Museum leisurely takes 2 hours to explore, featuring recovered artifacts from the attacks. It also provides a wealth of recorded information from survivors who were in the towers. Their testimonials are a triumph of the human spirit even in our darkest hours. \u003cbr />\u003cbr />This American experience is for those who recalled and for generations too young to remember.\u003cbr />\u003cbr />Tours might be conducted by co-host. All hosts are fully vaccinated from COVID-19. Please arrive 15 minutes before the start of your tour to check in."
https://www.airbnb.com/experiences/3664407?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,West Village Speakeasy experience,,5,2,"Established in 2014, me and my team have proudly been the first to operate Speakeasy experiences in NYC. We will take you to 3 completely concealed and hidden establishments. All 3 locations are completely hidden, no obvious bars in between. Some through unmarked doors, one through a secret wall and one inside a famous burger joint chain. Some have even won awards for their mixology and invented some of the classics. We will also show some tucked away landmarks and the friends building.  \u003cbr />We provide historical facts by history teachers with educational and tour guide licenses. Our facts are solely from cross referenced academic sources. We furthermore work in conjunction NYC City Hall and the NYC Hall of Records to ensure the authenticity of the historical claims by each establishment we visit. \u003cbr />—> DRINKS NOT INCLUDED \u003c—-\u003cbr />This experience is AVAILABLE IN FRENCH, ITALIAN, GERMAN, SPANISH and English. Please make sure to submit a request in a message if you want the experience in a different language. PLEASE do NOT book this is you are landing to the airport the same day after 11 am. \u003cbr />If the experience is fully booked, we also  offers the East Village Speakeasy experience and the Lower East Side Speakeasy experience on both Airbnb and our website."
https://www.airbnb.com/experiences/4288140?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=0eaf44d1-67a1-4ffa-a17c-358a50807443&searchId=8e18fa11-fbce-42f3-bc6f-b64337a542cf&sectionId=932113b9-fd5f-453b-b031-3805bc80ca47,"Walk-N-Dine, Hudson Yards at sunset",161 ,,0,"It is a walking tour culminating with a gastronomic dinner at one of the highest restaurant in the country, PEAK.  You'll be enjoying the Manhattan sunset from one of the best site anywhere.  This experience includes the tour, \u003cbr />-reservation and $100 credit towards your meal experience at PEAK. (No refund for any unused PEAK credits) \u003cbr />-Fantastic photo ops! \u003cbr />-Incredible sightseeing \u003cbr />-Complimentary access to EDGE, the highest outdoor observatory in the western hemisphere.  (Time to time, for weather or safety reasons, EDGE closes.  Since this is a complementary access, be aware that no refund nor rescheduling will be granted.  But don't worry, the restaurant is one floor above EDGE and offers breathtaking views as well)."
https://www.airbnb.com/experiences/3646788?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Visit Tribeca art galleries with an expert,48 ,4,3,"Great for groups! And for solo travelers that want to join other art enthusiasts! \u003cbr />I will select the best exhibits happening the day of the Guided Gallery Visit, and plan the art walk accordingly.  We will visit 6 to 9 art galleries depending on our pace. In each gallery I will offer a summarized overview of the gallery’s history and exhibition, and we will enjoy the art, immersing ourselves and discussing the works.  It will be a 2 to 2.5 hour gallery walk.\u003cbr />We will review the exhibits in  in a manner that invites fun personal discovery and conversation  among ourselves. Along the way, participants will  get a rich overview of the Tribeca Art Scene.\u003cbr />Great for teams and team building! Private larger groups can be arranged."
https://www.airbnb.com/experiences/3417662?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Two hour nyc ferry experience,45 ,5,2,"During this unique tour we will explore NYC from the East River. \u003cbr />\u003cbr />We will get on the ferry starting all the way from 90th st in Manhattan and see Randall’s Island, Queens, Roosevelt Island, Brooklyn, Governor’s Island, Brooklyn Bridge, Manhattan Bridge, Empire State Building, Freedom Tower, and much much more. \u003cbr />\u003cbr />The whole tour can take 2-3hrs all of which is on the ferry!"
https://www.airbnb.com/experiences/4823601?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Times Square Donut Adventure by Underground Donut Tour,83 ,5,1,"Our Times Square tour showcases all the best donuts in and around “the crossroads of the world” - Times Square. We have 4 amazing donuts shops picked out. Our first stop is definitely unexpected and about as “underground” as we can get without going into the subway. Our second stop was recently opened as a comedy club, restaurant, and secret donut shop as well. The donuts are hot, fresh and delicious. You’re going to love them. Our third stop is a Times Square mainstay with absolutely beautiful donuts, pastries and more. And finally, our last top is right in the heart of Times Square. We think you’ll be pleasantly surprised with all of our stops and recommendations. Along the route, we’ll highlight local history around the neighborhood, local landmarks, the history of New York City, as well as provide any recommendations you’d like around where else you should eat, see, do or stay. \u003cbr />\u003cbr />We look forward to seeing you soon!"
https://www.airbnb.com/experiences/2336395?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,The Steakhouse,124 ,,0,Crack the code of classic steakhouse's dishes.\u003cbr />We'll go through the ins and outs of Gotham's chop shops and recreate that in your own kitchen.\u003cbr />Indulge yourself with a meal worth breaking that diet!\u003cbr />We'll start with a scrumptious stuffed mushrooms with goat cheese and bacon.\u003cbr />We'll deep then into the hacks to marinate and cook a perfect steak with our signature salsa verde. Fried green tomatoes and apple coleslaw will accompany our main dish.\u003cbr />To crown the night top it off with a decadent molten chocolate cake with homemade vanilla gelato.
https://www.airbnb.com/experiences/4164596?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,The New York City Scavenger Hunt,23 ,,0,"Ever wanted to explore NYC in an exciting, brand new way that challenges to you to look at the city like never before? Take the NYC scavenger hunt, where you explore search and investigate across NYC's different neighborhoods, while solving clues leading to your next spot!\u003cbr />\u003cbr />Imagine it's like a tour, but instead of simply walking around, you're guided through the city with clues and puzzles that's only accessible to you! Perfect for tourists, new to the city, corporate team building, bachelor parties or everything in between, this is the perfect experience that brings the city to life!"
https://www.airbnb.com/experiences/4029481?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,"Rooftop, Bar & Speakeasy Soirée- Downtown",33 ,5,1,"The ultimate experience for anyone looking to explore the vibrant culture and history of one of New York City’s most iconic neighborhoods. This tour is designed to offer a personalized experience, exploring Lower Manhattan's Little Italy, Chinatown, and the Lower East Side. \u003cbr />​\u003cbr />You’ll join a great group and expert guide while taking in a breathtaking view from one of the city’s best rooftops, discover a hidden speakeasy and unique bars, and learn about the stories of the immigrants who have shaped the city of New York. Whether you’re looking for a fun night out or a unique way to explore the city with a party-like atmosphere, we make sure you leave with a unique experience and unforgettable memories. You won’t be disappointed with this luxury tour. \u003cbr />​\u003cbr />​\u003cbr />*Expect drink prices at $18-$26 for premium/specialty cocktails (before tax and tip)."
https://www.airbnb.com/experiences/1495556?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,The French Connection,124 ,5,2,"Our classes are 3 hours long and consist of 2 hours of personalized cooking instruction during which we will  learn the basic concepts of classic French cooking and prepare few staples of traditional French cuisine.\u003cbr /> We'll start with a briefing about the concept of mise en place and organized cooking, we'll talk about the menu and how will we proceed in order to utilize our time in a seamless flow. \u003cbr />We'll go then through an important part of our class: knife safety, skills and techniques. \u003cbr />\u003cbr />Join us as we feature a delicious french menu:\u003cbr />\u003cbr />French onion soup \u003cbr />Crunchy and cheesy cordon blue\u003cbr />Sultry potatoes au gratin and a celery remoulade\u003cbr />Dessert is a chocolate cream du pot\u003cbr />\u003cbr />\u003cbr /> Wine is on the house!!\u003cbr />\u003cbr />Finally for the last hour, our guests will sit down in our cozy dining room and will be served everything prepared together.\u003cbr />Other things to note\u003cbr />We suggest to dress up comfortably, arrive at least 15 minutes prior to the beginning of the class to get ready and have the time to set down and mingle with your fellow students.\u003cbr />Please make us aware of any dietary or religious restriction in advance, so we may be able to accommodate your needs."
