link,name,price,description,total_rating,number_of_ratings,category,guide_rating,transportation_rating,value_for_money_rating,service_rating,organization_rating,keywords
https://www.getyourguide.com/new-york-city-l59/nyc-summit-one-vanderbilt-experience-ticket-t404501,NYC: SUMMIT One Vanderbilt Experience Ticket ,42.2,"<p>Visit SUMMIT, situated at the top of the iconic modern landmark One Vanderbilt. Discover a place which changes our relationship with cities, environment, and ourselves through immersive, multi-sensory experiences.</p><p>
</p><p>Head off the main concourse of Grand Central Terminal, to learn the&nbsp;story behind its creation. Learn all about an attraction designed with the intention of transcending everyday existence, and engage with space in a fascinating new way.

Begin with a sensory stimulating elevator ride to the 91st floor. Be transported into SUMMIT AIR, a new way to see and interact with space designed by Kenzo Digital. Layered with two floors of floor to ceiling mirrors, AIR offers a new perspective as the Manhattan skyline reflects all around you.

Next, test your limits at SUMMIT LEVITATION and enjoy the rush of stepping out over the city on two glass ledges suspended 1,063 feet above Madison Avenue. Watch your image float in the clouds across a multi-media screen and get in touch with your playful side in the silver balloon AFFINITY room.

Once you reach the 93rd floor, take in the sights and sounds of NYC from another vantage point on the outdoor observation deck.</p><p>
</p><p>For a more intimate, adult-friendly evening experience, choose to visit SUMMIT during Air at Night. Guests can enjoy access to all areas of the attraction, an LED light show with accompanying vivacious music, and cocktails for purchase at the 93rd floor bar.</p>",4.7,19157.0,Entry ticket,,,,,,"summit aar, aar, kenzo digital, 93rd floor ; air at night ; LED light show ; vivacious music ; cocktails ; 93rd floor bar"
https://www.getyourguide.com/new-york-city-l59/new-york-citypassr-t18597,New York: CityPASS® with Tickets to 5 Top Attractions,131.7,,4.6,4688.0,City card,,,,,,
https://www.getyourguide.com/new-york-city-l59/1-day-new-york-city-highlight-tour-with-2-admission-tickets-t642873,NYC Guided Tours with Statue of Liberty and One World Trade ,125.95,"We are going to explore the Big Apple, New York City. We will walk on Wall Street, and visit Trinity Church, the New York Stock Exchange, and the Federal Reserve Bank of New York. You will also have a chance to take a picture of the statue of George Washington and the Charging Bull. You can get on top of the One World Trade Center to overlook the city. (If One World Observatory is closed, Empire State Building will be the replacement) . Then we will take the Statue of Liberty Cruise to get a view of Manhattan, the Statue of Liberty, and a photo with Brooklyn Bridge, followed by the Intrepid Sea, Air and Space Museum Explore the famous landmarks of America by visiting Times Square, NASDAQ Stock Exchange and Broadway theatre. Pass by Rockefeller Center, little island, the Vessel, and visit Madame Tussauds Wax Museum.",,,Day trip,,,,,,new york city ; wall street ; Trinity church ; new york stock exchange ; federal reserve bank ; one world trade center ; empire state building ;
https://www.getyourguide.com/new-york-city-l59/liberty-harbor-helicopter-adventure-t15252,New York City: Manhattan Helicopter Tour ,206.55,"Manhattan brings to mind grand skyscrapers, taxi cabs, and a world-class attitude all of its own. See all this and more as an expert pilot flies you over NYC on a 15 or 20-minute helicopter tour. Soar over the Statue of Liberty, Central Park, Brooklyn Bridge, Madison Square Garden, among other landmarks.

After take-off from the Downtown Heliport, swing down over lower Manhattan to see the skyline and streets below. Swoop over Battery Park to glance at Wall Street and its labyrinth of streets.
Then sail over to Governor's Island, an island once reserved only for the city's dignitaries that now hosts summer concerts and public art. Then, fly over Ellis Island and see Lady Liberty shining brightly in the distance. Cruise right up to her eye for a new perspective of the Statue of Liberty.
Enjoy all this before heading up the Hudson past the piers of Chelsea and the lights of Broadway. On your way back to the pier, head around the Empire State Building, Brooklyn Bridge, and fly over Ground Zero where you can have a look at the exceptional work they're doing at the sight.
Continue past Madison Square Garden and the Intrepid Air and Space Museum. See Central Park as your flight turns around to return to the heliport.
Sights included in the 15-Minute tour:
Statue of LibertyEllis IslandOne World Trade Center9/11 MemorialBrooklyn BridgeBattery ParkWall Street/Financial DistrictEmpire State BuildingChrysler BuildingMadison Square GardenTimes SquareU.S.S. Intrepid Sea, Air, and Space MuseumCentral Park
Sights included in the 20-Minute tour:
Brooklyn BridgeBattery ParkWall StreetStatue of LibertyEllis IslandOne World Trade Center9/11 Memorial SiteEmpire State BuildingChrysler BuildingMadison Square GardenU.S.S. Intrepid MuseumTimes SquareCentral ParkGrant’s TombGeorge Washington BridgeHarlem and Harlem RiverThe Bronx and Yankee StadiumPalisades CliffsSpuyten Duyvil Bridge",4.7,3367.0,Adventure,,,,,,cityellis islandone world trade center9/11 memorialbrooklyn bridgebattery park ; suburban districtempire state building ; taxi cabs ; helicopter tour ; central park ; battery park 
https://www.getyourguide.com/new-york-city-l59/new-york-lady-liberty-70-minute-sightseeing-cruise-t89139,NYC: 1-Hour Cruise Around Statue of Liberty &amp; Ellis Island,29.75,,4.0,5876.0,Water activity,,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-city-15-minute-helicopter-tour-t19901,NYC: Manhattan Island All-Inclusive Helicopter Tour ,247.15,"Experience the best views in New York City from inside a helicopter, complete with large floor-to-ceiling convex windows for your viewing pleasure. On your flight you will see the beautiful Central Park, Hudson River, and New York Harbor, including the Intrepid Museum.
Cruise past the Rockefeller Center, Empire State Building, the World Financial Center, and the Chrysler Building from up high, as well as the iconic Statue of Liberty, Ellis Island, Greenwich Village, South Street Seaport, and the Brooklyn Bridge, which dates all the way back to 1883.
With tour narration and all heliport fees included, there is no better way to enjoy the dramatic and ever-evolving New York City skyline.",4.8,3911.0,Adventure,,,,,,"new york city from inside a helicopter, complete with floor-to-ceiling convex windows ; central park, Hudson river ; new york harbor ; Intrepid museum ; rockefeller center"
https://www.getyourguide.com/new-york-city-l59/new-york-city-explorer-pass-t5721,New York: Go City Explorer Pass - 90+ Tours and Attractions,75.75,"Explore iconic New York with Go City for one low pre-paid price. With a selection of over 90 must-see NYC attractions, museums, and tours, you can save up to 50%* compared to buying separate attraction tickets. Design your own New York adventure with access to the most popular attractions on one easy-to-use digital pass.

Options include the Statue of Liberty Ferry, 9/11 Memorial, Empire State Building, EDGE, and many more.

Pick between a 2, 3, 4, 5, 6, 7 or 10-choice pass, browse the guide or Go City app to plan your itinerary and check entry requirements. Scanning your pass at the gate or ticket office of an attraction (or tour) for the first time will activate it. You then have 60 days to use the remaining choices purchased.

Your pass also features special perks including gift shop discounts or a free audio guide at selected attractions, helping you make the most of your New York trip and save even more along the way.

The New York attractions you can choose include:&nbsp;
<strong>Museums &amp; Galleries</strong>
• American Museum of Natural History
• 9/11 Memorial &amp; Museum
• Museum of Modern Art (MoMA)
• Intrepid Museum
• Guggenheim Museum
• The Whitney Museum of American Art
• Fotografiska New York
• Museum of Sex
• Museum of the City of New York

<strong>Experiences</strong>
• Empire State Building
• Top of the Rock
• One World Observatory
• Edge
• Central Park Bike Rental
• Rise NY
• 9/11 Museum Workshop: Hands-on 9/11 Tour
• SPYSCAPE
• Madame Tussauds
• Harlem Jazz Series
• Harlem Bike Rental
• Surrey Bike Rental Governors Island
• Brooklyn Bridge Bike Rental by Unlimited Biking
• New York Yankees Game Tickets

<strong>Tours &amp; Cruises</strong>
• Rockefeller Center Tour
• Big Bus New York Hop-on Hop-off: 1-Day Classic Tour
• Best of NYC Cruise: Circle Line Sightseeing
• Statue of Liberty and Ellis Island Ferry
• The RIDE
• Harbor Lights Cruise: Circle Line Sightseeing
• NYC Landmarks Cruise: Circle Line Sightseeing
• Central Park Bike Tour
• Madison Square Garden All Access Tour
• Radio City Stage Door Tour
• Greenwhich Village at Night Walking Tour
• St Patrick's Cathedral Tour with Express Entry
• Graffiti and Street Art Tour Walking Tour of Brooklyn
• Secrets of the Statue of Liberty &amp; Ellis Island Walking Tour
• Broadway &amp; Times Square Walking Tour
• Central Park TV &amp; Movies Walking Tour
• Yankee Stadium Tour
• Wall Street Walking Tour
• Catacombs by Candlelight
• Pride Walking Tour
• NYC TV &amp; Movie Bus Tour
• Top of the Highline and Hudson Yards Tour
• Brooklyn Bridge &amp; DUMBO Neighborhood Walking Tour
• Chinatown Walking Tour
• High Line - Chelsea - Meatpacking Tour
• Little Italy Walking Tour
• Greenwich Village Walking Tour
• Best of Brooklyn Walking Tour in Williamsburg
• Woodbury Common Bus Tour (Round Trip + VIP Coupon Booklet)
• Harry Potter and the Fantastic Beasts Walking Tour

<strong>Food and Drinks</strong>
• Food on Foot Tours
• Spirits on Foot - Beer, Spirits &amp; Wine Crawl

*Savings based on sample itineraries on Go City website.",4.5,4131.0,City card,,,,,,new york city ; museums ; tours ; digital pass ; gift shop discounts ; audio guide ; greenwhich village ; pristine history ; 9/11 memorial
https://www.getyourguide.com/new-york-city-l59/new-york-statue-of-liberty-ellis-island-guided-tour-t61160,NYC: Statue of Liberty &amp; Ellis Island Guided Tour with Ferry ,58.6,"Enjoy your visit to an iconic monument on this guided tour to the Statue of Liberty. Experience the beautiful panoramic views of the New York City skyline, which includes the Brooklyn Bridge, The Empire State Building, and more.&nbsp;

30 minute Introductory Tour
Includes a round trip ferry ticket plus tips and tricks from an experienced seasoned guide. Then go at your own pace as you make a self guided visit to the Statue of Liberty &amp; Ellis Island.

Guided Statue of Liberty &amp; Ellis Island
Benefit from the experience and knowledge of your guide as they navigate you through the crowds and the two mandatory security screenings. Immerse yourself in the experience and enjoy the entertaining and informative stories that they will share, bringing your&nbsp;experience to life. Includes round trip ferry service and a live guide.&nbsp;

Continue to Ellis Island, home to America’s Immigration Museum and the spot where tens of millions of immigrants took their first steps toward becoming Americans. Follow in the footsteps of this journey, as you visit the Great Hall, the Stairs of Separation, and the Kissing Post.",4.7,1272.0,Guided tour,,,,,,guided tour ; new york city skyline ; new york city skyline ; queensland bridge ; empire state building ; self guided visit ;
https://www.getyourguide.com/new-york-city-l59/nyc-nights-come-alive-skyline-happy-hour-cruise-music-t453100,NYC: Skyline and Statue of Liberty Night Cruise ,40.6,"Enjoy the best views of the New York skyline on this happy hour cruise around lower Manhattan with onboard food options and a covered outdoor dance floor. This 2-level boat has indoor and outdoor decks to make the most of this unforgettable experience.

Cruise down the East River, under the Brooklyn Bridge &amp; past South Street Seaport as you head out to the Statue of Liberty for sunset photos. See One World Trade Center, the Empire State Building, the Chrysler Building, Ellis Island and buildings of all shapes and sizes light up the night sky.

There is light commentary to help you identify the many famous buildings and neighborhoods you will see as you cruise along the Hudson River and the East River, on both sides of Manhattan

Enjoy a happy hour special, beer, wine, cocktails, and soft drinks from the cash bar, If you are hungry you can purchase snacks and food options like burgers, chicken fingers, nachos, pasta, hot dogs and hot pretzels. Enjoy the fun music as you dance and mingle on the covered outdoor deck.

With a friendly crew and an incredible setting, this happy hour skyline cruise is the perfect way to unwind and experience the magic of New York City at night.",3.9,991.0,Water activity,,,,,,happy hour cruise ; lower manhattan ; onboard food options ; covered outdoor dance floor ; sunset photos ; one world trade center ; empire state building ;
https://www.getyourguide.com/new-york-city-l59/24-or-48-hour-hop-on-hop-off-sightseeing-tour-t52377,New York: Hop-on Hop-off Sightseeing Tour by Open-top Bus ,52.3,"Experience the perfect introduction to New York with a Hop on Hop off Big Bus tour. Relax on an open-top double decker sightseeing bus while listening to insightful and engaging digital commentary. The bus route takes you on a captivating journey through New York's rich history and vibrant modern life, as well as its many memorials and museums.

You'll have the opportunity to hop off and explore the city's most iconic historical sites, including the Statue of Liberty, Brooklyn Bridge, Empire State Building, Broadway, and the One World Trade Center with its 360-degree view of the stunning skyline. Pay tribute to the memory of those lost in the tragic event at the 9/11 Memorial just steps away.

The Downtown Loop is a 90 minute circuit, while the Uptown Loop is 75 minutes. Many guests choose to ride a full loop to see the city before deciding where to hop off on the next loop around. Buses arrive every 10-15 minutes on the Downtown Loop and every 30 minutes on the Uptown Loop throughout the day.

Explore Lower Manhattan on the Downtown tour, including popular neighborhoods such as the Flatiron District, World Trade Center, Battery Park, SoHo &amp; NoHo, Greenwich Village &amp; East Village, Chelsea, and the Financial District. Wander around Wall St. to see the famous Stock Exchange and Charging Bull. Eat your way through Little Italy and Chinatown, shop at the high-end boutiques in SoHo, or see the open-air observation deck at The Edge in Hudson Yards.

Then make your way to the Upper East Side, home to some of New York’s most popular museums. Explore the Frick Collection and the Metropolitan Museum of Art (The Met). The Uptown Loop takes you through Midtown, passing by Grand Central Terminal and St. Patrick’s Cathedral.

Add a relaxing and scenic cruise around Liberty Island to complete your trip. Enjoy spectacular views of Lady Liberty and many more New York landmarks from a prime position on the Hudson River. Cruises last 1 hour and feature an onboard cafe and full bar, restrooms, outdoor deck space, air conditioning and indoor seating with large windows.

Journey through New York on two wheels with an included offer at Unlimited Biking, NYC's premiere bike rental company. Purchase a 1-hour (minimum) bike rental and receive an extra hour free! Or, enjoy $5 OFF per person for any bike tour or Segway tour.",4.0,2707.0,Hop-on hop-off tour,,,,,,uptown loop ; upper east side ; flatiron district ; world trade center ; battery park ; soh ; greenwich village ; east village ; bar ; indoor seating
