link,name,price,description,total_rating,number_of_ratings,category,guide_rating,transportation_rating,value_for_money_rating,service_rating,organization_rating
https://www.getyourguide.com/new-york-city-l59/nyc-summit-one-vanderbilt-experience-ticket-t404501,NYC: SUMMIT One Vanderbilt Experience Ticket ,42.25,"<p>Visit SUMMIT, situated at the top of the iconic modern landmark One Vanderbilt. Discover a place which changes our relationship with cities, environment, and ourselves through immersive, multi-sensory experiences.</p><p>
</p><p>Head off the main concourse of Grand Central Terminal, to learn the&nbsp;story behind its creation. Learn all about an attraction designed with the intention of transcending everyday existence, and engage with space in a fascinating new way.

Begin with a sensory stimulating elevator ride to the 91st floor. Be transported into SUMMIT AIR, a new way to see and interact with space designed by Kenzo Digital. Layered with two floors of floor to ceiling mirrors, AIR offers a new perspective as the Manhattan skyline reflects all around you.

Next, test your limits at SUMMIT LEVITATION and enjoy the rush of stepping out over the city on two glass ledges suspended 1,063 feet above Madison Avenue. Watch your image float in the clouds across a multi-media screen and get in touch with your playful side in the silver balloon AFFINITY room.

Once you reach the 93rd floor, take in the sights and sounds of NYC from another vantage point on the outdoor observation deck.</p><p>
</p><p>For a more intimate, adult-friendly evening experience, choose to visit SUMMIT during Air at Night. Guests can enjoy access to all areas of the attraction, an LED light show with accompanying vivacious music, and cocktails for purchase at the 93rd floor bar.</p>",4.7 ,19112,Entry ticket,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-citypassr-t18597,New York: CityPASS® with Tickets to 5 Top Attractions ,131.7,"Visiting New York City? Experience 5 must-see attractions, handpicked and packaged together at a 40% savings, with New York CityPASS® tickets. Spend less time planning and more time exploring. Visit the attractions at your own pace, in any order. Valid for 9 consecutive days including the first day of use. Buy online for instant mobile delivery.

Get admission to 5 attractions.
Includes:

•Empire State Building Observatory- AM/PM Experience, including 86th Floor Observatory admission and entry to the 2nd Floor Museum, plus bonus same-night general admission

•American Museum of Natural History- Admission to permanent Museum halls, including over 40 galleries, plus a choice of one ticketed exhibition, the Davis Family Butterfly Vivarium, giant-screen film, or the Hayden Planetarium Space Show (based on availability; Invisible Worlds not included)

Plus choose 3 of the following:

•Top of The Rock® Observation Deck- General Admission

•Ferry Access to Statue of Liberty and Ellis Island- General Admission ticket for one Statue City Cruises ferry ride to and from Liberty Island and Ellis Island, audio guides, and admission to the Statue of Liberty Museum and Ellis Island National Museum of Immigration (Crown Tickets and Pedestal Access not included)

•9/11 Memorial &amp; Museum- General Admission

•Circle Line Sightseeing Cruises- One regularly scheduled Landmarks Cruise, Liberty Midtown Cruise or Liberty Super Express Cruise (check circleline.com for current schedules)

•Intrepid Museum- General admission, including the Space Shuttle Pavilion, the submarine Growler, the immersive Kamikaze experience, and all temporary exhibitions

•Guggenheim Museum- General admission to the Guggenheim’s collection and special exhibits, plus a free digital guide (accessed via personal mobile device)

Plan Your Trip:
Visit my.citypass.com to make reservations (if required), access tickets and view attraction details. ",4.6 ,4680,City card,,,,,
https://www.getyourguide.com/new-york-city-l59/1-day-new-york-city-highlight-tour-with-2-admission-tickets-t642873,NYC Guided Tours with Statue of Liberty and One World Trade ,126,"We are going to explore the Big Apple, New York City. We will walk on Wall Street, and visit Trinity Church, the New York Stock Exchange, and the Federal Reserve Bank of New York. You will also have a chance to take a picture of the statue of George Washington and the Charging Bull. You can get on top of the One World Trade Center to overlook the city. (If One World Observatory is closed, Empire State Building will be the replacement) . Then we will take the Statue of Liberty Cruise to get a view of Manhattan, the Statue of Liberty, and a photo with Brooklyn Bridge, followed by the Intrepid Sea, Air and Space Museum Explore the famous landmarks of America by visiting Times Square, NASDAQ Stock Exchange and Broadway theatre. Pass by Rockefeller Center, little island, the Vessel, and visit Madame Tussauds Wax Museum.",,,Day trip,,,,,
https://www.getyourguide.com/new-york-city-l59/liberty-harbor-helicopter-adventure-t15252,New York City: Manhattan Helicopter Tour ,206.6,"Manhattan brings to mind grand skyscrapers, taxi cabs, and a world-class attitude all of its own. See all this and more as an expert pilot flies you over NYC on a 15 or 20-minute helicopter tour. Soar over the Statue of Liberty, Central Park, Brooklyn Bridge, Madison Square Garden, among other landmarks.

After take-off from the Downtown Heliport, swing down over lower Manhattan to see the skyline and streets below. Swoop over Battery Park to glance at Wall Street and its labyrinth of streets.
Then sail over to Governor's Island, an island once reserved only for the city's dignitaries that now hosts summer concerts and public art. Then, fly over Ellis Island and see Lady Liberty shining brightly in the distance. Cruise right up to her eye for a new perspective of the Statue of Liberty.
Enjoy all this before heading up the Hudson past the piers of Chelsea and the lights of Broadway. On your way back to the pier, head around the Empire State Building, Brooklyn Bridge, and fly over Ground Zero where you can have a look at the exceptional work they're doing at the sight.
Continue past Madison Square Garden and the Intrepid Air and Space Museum. See Central Park as your flight turns around to return to the heliport.
Sights included in the 15-Minute tour:
Statue of LibertyEllis IslandOne World Trade Center9/11 MemorialBrooklyn BridgeBattery ParkWall Street/Financial DistrictEmpire State BuildingChrysler BuildingMadison Square GardenTimes SquareU.S.S. Intrepid Sea, Air, and Space MuseumCentral Park
Sights included in the 20-Minute tour:
Brooklyn BridgeBattery ParkWall StreetStatue of LibertyEllis IslandOne World Trade Center9/11 Memorial SiteEmpire State BuildingChrysler BuildingMadison Square GardenU.S.S. Intrepid MuseumTimes SquareCentral ParkGrant’s TombGeorge Washington BridgeHarlem and Harlem RiverThe Bronx and Yankee StadiumPalisades CliffsSpuyten Duyvil Bridge",4.7 ,3360,Adventure,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-lady-liberty-70-minute-sightseeing-cruise-t89139,NYC: 1-Hour Cruise Around Statue of Liberty &amp; Ellis Island ,29.75,"Take a 60-minute boat ride to within 100 feet of the Statue of Liberty. Cruise right under the Brooklyn Bridge and see the most famous skyline in the world.

Your live English guide will point out the sites as you journey along the river including the Empire State Building, the new Freedom Tower, the Manhattan Bridge, Governor's Island, and more.&nbsp;Make use of both the indoor and outdoor seating, along with large open windows for your viewing pleasure.

Get within touching distance of ""Lady Liberty"" and then move on to Ellis Island to take photos of the famous entry point to New York City. Marvel at the skyline of Manhattan and its famous skyscrapers, including the new One World Trade Center.
Glide down both the east and west sides of Lower Manhattan on this roundtrip cruise, and purchase drinks and food from the concession stand aboard the boat.&nbsp;",4,5863,Water activity,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-city-15-minute-helicopter-tour-t19901,NYC: Manhattan Island All-Inclusive Helicopter Tour ,247.2,,4.8 ,3903,Adventure,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-city-explorer-pass-t5721,New York: Go City Explorer Pass - 90+ Tours and Attractions ,75.8,,4.5 ,4124,City card,,,,,
https://www.getyourguide.com/new-york-city-l59/new-york-statue-of-liberty-ellis-island-guided-tour-t61160,NYC: Statue of Liberty &amp; Ellis Island Guided Tour with Ferry ,58.65,"Enjoy your visit to an iconic monument on this guided tour to the Statue of Liberty. Experience the beautiful panoramic views of the New York City skyline, which includes the Brooklyn Bridge, The Empire State Building, and more.&nbsp;

30 minute Introductory Tour
Includes a round trip ferry ticket plus tips and tricks from an experienced seasoned guide. Then go at your own pace as you make a self guided visit to the Statue of Liberty &amp; Ellis Island.

Guided Statue of Liberty &amp; Ellis Island
Benefit from the experience and knowledge of your guide as they navigate you through the crowds and the two mandatory security screenings. Immerse yourself in the experience and enjoy the entertaining and informative stories that they will share, bringing your&nbsp;experience to life. Includes round trip ferry service and a live guide.&nbsp;

Continue to Ellis Island, home to America’s Immigration Museum and the spot where tens of millions of immigrants took their first steps toward becoming Americans. Follow in the footsteps of this journey, as you visit the Great Hall, the Stairs of Separation, and the Kissing Post.",4.7 ,1266,Guided tour,,,,,
https://www.getyourguide.com/new-york-city-l59/nyc-nights-come-alive-skyline-happy-hour-cruise-music-t453100,NYC: Skyline and Statue of Liberty Night Cruise ,40.6,,3.9 ,986,Water activity,,,,,
https://www.getyourguide.com/new-york-city-l59/24-or-48-hour-hop-on-hop-off-sightseeing-tour-t52377,New York: Hop-on Hop-off Sightseeing Tour by Open-top Bus ,52.3,"Experience the perfect introduction to New York with a Hop on Hop off Big Bus tour. Relax on an open-top double decker sightseeing bus while listening to insightful and engaging digital commentary. The bus route takes you on a captivating journey through New York's rich history and vibrant modern life, as well as its many memorials and museums.

You'll have the opportunity to hop off and explore the city's most iconic historical sites, including the Statue of Liberty, Brooklyn Bridge, Empire State Building, Broadway, and the One World Trade Center with its 360-degree view of the stunning skyline. Pay tribute to the memory of those lost in the tragic event at the 9/11 Memorial just steps away.

The Downtown Loop is a 90 minute circuit, while the Uptown Loop is 75 minutes. Many guests choose to ride a full loop to see the city before deciding where to hop off on the next loop around. Buses arrive every 10-15 minutes on the Downtown Loop and every 30 minutes on the Uptown Loop throughout the day.

Explore Lower Manhattan on the Downtown tour, including popular neighborhoods such as the Flatiron District, World Trade Center, Battery Park, SoHo &amp; NoHo, Greenwich Village &amp; East Village, Chelsea, and the Financial District. Wander around Wall St. to see the famous Stock Exchange and Charging Bull. Eat your way through Little Italy and Chinatown, shop at the high-end boutiques in SoHo, or see the open-air observation deck at The Edge in Hudson Yards.

Then make your way to the Upper East Side, home to some of New York’s most popular museums. Explore the Frick Collection and the Metropolitan Museum of Art (The Met). The Uptown Loop takes you through Midtown, passing by Grand Central Terminal and St. Patrick’s Cathedral.

Add a relaxing and scenic cruise around Liberty Island to complete your trip. Enjoy spectacular views of Lady Liberty and many more New York landmarks from a prime position on the Hudson River. Cruises last 1 hour and feature an onboard cafe and full bar, restrooms, outdoor deck space, air conditioning and indoor seating with large windows.

Journey through New York on two wheels with an included offer at Unlimited Biking, NYC's premiere bike rental company. Purchase a 1-hour (minimum) bike rental and receive an extra hour free! Or, enjoy $5 OFF per person for any bike tour or Segway tour.",4,2695,Hop-on hop-off tour,,,,,
