link,name,price,description,total_rating,number_of_ratings
https://www.musement.com/us/new-york/9-11-memorial-and-museum-tickets-3515/,9-11 Memorial and Museum tickets,$33.00,"No visit to New York City is complete without visiting the somber and poignant 9-11 Memorial and Museum. Occupying roughly half of the 16-acre site, the memorial honors the 2,977 lives lost on that fateful day in September 2001. The names of the deceased are inscribed on bronze parapets surrounding the twin memorial pools.
The museum is located seven stories below the memorial, at the very foundation of where the Twin Towers once stood. You'll learn about the history of the tragic events through interactive technology, artifacts, historical records, imagery and personal stories as you explore the 110,000 square feet of space.",4.7,1151
https://www.musement.com/us/new-york/summit-one-vanderbilt-tickets-355051/,SUMMIT One Vanderbilt tickets,$57.71,"Your journey at the top of One Vanderbilt starts in Transcendence, part of AIR, a story-driven immersive experience designed by Kenzo Digital, mixing transparency and reflectivity to create the illusion of boundless space! Enjoy a beautiful art installation in Reflect: on display in the most famous art galleries across the world, “CLOUDS” is comprised of stainless-steel cloud-like shapes, designed by Japanese artist Yayoi Kusama.
Your experience then evolves and becomes interactive and playful in Affinity where you are invited to connect physically to the space by playing with highly reflective orbs floating around the room. Then it’s time for a thrilling experience at Levitation; the skyboxes allow you to step out from the envelope of the building and stand on transparent glass 1,070 feet (325 meters) above Madison Avenue, with the hustle and bustle of city streets directly beneath you.
In Unity, you are invited to become part of the space itself – your 3D face capture transformed into a cloud in a mesmerizing, infinite cloudscape display on a giant screen. On the last floor of SUMMIT, you’ll find the sky-high lounge and café Après, featuring bespoke light fare and an innovative cocktail program curated by Danny Meyer’s Union SquareEvents. The SUMMIT Terrace wraps around the south and west sides of One Vanderbilt and is the perfect open-air viewing spot to take in the incredible views for up to 80 miles while toasting your experience.",4.8,144
https://www.musement.com/us/new-york/nat-geo-day-tour-tastes-and-tales-from-brooklyn-s-little-caribbean-433800/,Nat Geo Day Tour: Tastes and Tales from Brooklyn's Little Caribbean,$129.00,"Not far from Central Brooklyn’s famous Prospect Park, there’s a neighbourhood where you can feel the pulse of the Caribbean without leaving the city. Today, the area of Flatbush known as ‘Little Caribbean’ is home to the largest community of Caribbean descendants outside the West Indies.

In the mid-20th century, Afro-Caribbean immigrants arrived in the U.S. seeking economic opportunities, with New York City being a top destination. Many who arrived from the Caribbean settled in and around Flatbush in Brooklyn, and today the community spirit is strong.

Your National Geographic-trained guide, living and working in Little Caribbean, will lead you on a walking tour of the area to visit a variety of community hubs, absorbing the culture, listening to music, and tasting your way around some of the typical treats of the Caribbean.

Begin with a visit to a local Grenadian grocery store for fresh coconut water – bring it with you to add a splash of Caribbean rum at your next stop. Next, visit an African record store that has been in business since the 1970s, selling musical treasures from around the globe.

Your taste buds will be in for a treat as you savour spicy Jamaican patties and jerk chicken, finishing with treats from a beloved local bakery that's been a neighborhood staple for over half a century. Meet the family who has owned it for three generations and hear their stories - the perfect ending to a day of discoveries in Brooklyn's own Caribbean oasis.",,0
https://www.musement.com/us/new-york/nat-geo-day-tour-the-untold-story-of-central-park-433816/,Nat Geo Day Tour: The Untold Story of Central Park,$79.00,"Central Park is one of NYC's best loved places to visit. A huge swathe of green covering more than 340 hectares, it's known as the lungs of New York. But before the construction of Central Park in 1858, a seven-block section along the western fringe of the park was home to Seneca Village, an African American enclave which provided its residents an escape from unhealthy conditions and pervasive racism experienced in Lower Manhattan, as well as an opportunity to become property owners and build a new community.

Newspaper reports that favored the creation of the park referred to Seneca Village as a place of shanties and shacks, but archaeological evidence and documentation from the time shows it was an educated, middle-class community. While the majority of the residents were African American, the village also had a substantial population of Irish and German immigrants. This mix of residents made it a unique example of an integrated community, especially for its time, and the Village boasted churches and a school.

When the City acquired the land for Central Park through the process of ‘eminent domain,’ the residents of Seneca Village were displaced and forgotten. In the 1990s, historians rediscovered the Village, leading to an ongoing project to uncover the history of this extraordinary place.

Visit the former site of Seneca Village with your National Geographic-trained guide who will share the stories of the people who once created a community here and see the site of the archaeological digs in Central Park, uncovering this little-known history.",,0
https://www.musement.com/us/new-york/six-flags-great-adventure-admission-tickets-384389/,Six Flags Great Adventure admission tickets,$56.98,"Six Flags Great Adventure, the World’s Ultimate Thrill Park. Looking for things to do in the New Jersey area? At Six Flags Great Adventure, there’s a lot to ‘WOW!’ about. Like, pulse-pounding coasters, never-before-seen culinary creations, new attractions every season and world-renowned entertainment that will get you on your feet – to name a few!
Enjoy the renovated Jr. Thrill seekers family area and Medusa top-rail floorless coaster, and the Summer Vibes Festival!
Six Flags Great Adventure, the World’s Ultimate Thrill Park, introduces Splash Island, a brand-new area for our young thrill seekers. The area will include a tree house play structure and fourteen new kids’ slides in Hurricane Harbor. This amazing tree house will be packed with 50+ exciting play features, from mini slides and curtain waterfalls to the grand finale: an enormous water bucket ready to drench those daring enough to take the plunge.",4.8,5
https://www.musement.com/us/new-york/new-york-citypass-r-five-top-attractions-150849/,New York CityPASS®: five top attractions,$146.00,"Visiting New York City? Experience 5 must-see attractions, handpicked and packaged together at a 40% savings, with New York CityPASS® tickets.
Spend less time planning and more time exploring. Visit the attractions at your own pace, in any order. Your pass is valid for 9 consecutive days including the first day of use.
Get admission to 5 attractions.
Includes:
Empire State Building Observatory
American Museum of Natural History
Plus choose 3 of the following:
Top of The Rock® Observation Deck
Ferry Access to Statue of Liberty and Ellis Island
9/11 Memorial & Museum
Circle Line Sightseeing Cruises
Intrepid Museum
Guggenheim Museum",4.6,64
https://www.musement.com/us/new-york/priority-statue-of-liberty-and-ellis-island-reserve-tickets-281800/,Priority Statue of Liberty and Ellis Island reserve tickets,$30.78,"Enjoy priority access to visit the Statue of Liberty and Ellis island when you select a date and timed reserved ticket. You'll discover why the Statue of Liberty is a universal symbol for freedom given to the United States, and explore the symbol of this nation’s immigrant heritage.
No trip to New York City would be complete without a visit to the world-famous Lady Liberty. A Reserve Ticket (retailing at USD $24) will save you time spent in line at the security screening facility.
Hear how more than 12 million immigrants entered the United States through Ellis Island, the nation’s chief gateway during the years 1892 to 1954. Reopened as the Ellis Island Immigration Museum, you'll explore the symbol of this nation’s immigrant heritage.",4.6,41
https://www.musement.com/us/new-york/metropolitan-museum-of-art-self-guided-audio-tour-322058/,Metropolitan Museum of Art self-guided audio tour,$22.00,"Take a trip around the world and back in time, through thousands of pieces of priceless art! Discover the Met, the largest art museum in the United States, on a self-guided audio tour.
During the tour, you will admire works by El Greco, Rembrandt, Raphael, van Gogh, and many more in the European paintings area. Have a close look at miniature statues, mummy cases, and a temple to the goddess Isis in the Egyptian Collection. Remain open-mouthed in front of the imposing structure of the Temple of Dendur, a full-sized Egyptian temple donated by Jackie Kennedy.",4.5,4
https://www.musement.com/us/new-york/9-11-ground-zero-walking-tour-with-optional-9-11-museum-and-one-world-observatory-tickets-27970/,9-11 Ground Zero walking tour with optional 9-11 Museum and One World Observatory tickets,$39.00,"Join the all-access tour, which will begin with a 90-minute walking tour covering St. Paul’s Chapel, the Firefighter’s Memorial Wall and the 9/11 Memorial. Your guide will lead you to the 9/11 Museum (accessible via optional upgrade) where you’ll be provided with timed entry tickets to minimize wait times and you can enjoy the visit at your leisure.
After the Museum visit, you’ll enter the Observatory (a two-minute walk away, accessible via optional upgrade). This panoramic observation deck is a marvel of engineering and architecture. The program begins in the lobby of the Freedom Tower with ""Voices"" - a film dedicated to the men and women of the Twin Towers and the new One World Trade Center. You’ll then take the ""Sky Pod"" elevator, which rises 1,250 ft (381 m) in the air in 60 seconds.
The Observation Deck begins on the 102nd floor with the See Forever Theater and moves down to the 100th floor, where the main observation deck is situated. Immersive LED displays, interactive touch screen video, and dining options mean there's plenty to do, but the true draw is the view that awaits: the impressive New York City skyline.",4.7,85
https://www.musement.com/us/new-york/top-of-the-rock-entrance-tickets-166552/,Top of The Rock Entrance Tickets,$43.55,"Nestled at the height of 30 Rockefeller Plaza, Top of the Rock’s three levels of indoor and outdoor observation decks deliver spectacular, unobstructed views of the city skyline. With terraces facing east, west, north, and south, Top of the Rock’s panoramic sights make it the ultimate observation deck in NYC. Explore 9,500 square feet of unobstructed outdoor viewing space, the most of any New York observatory. Soaring 70 floors above Rockefeller Center, it’s one of the top things to do in New York City. Head up to the Top in less than 1 minute to top off your visit with breathtaking views from the completely open-air deck on the 70th-floor of Central Park, Empire State Building, One World Trade Center and downtown Manhattan.",4.5,17
