Name,Country,Year,Price,Rating,Rating Counter,Tastes
La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x 70cl,Schweiz,2022,41.70,3.7,2318,"['29.8527%', '9.37067%', '60.5303%']"
Zürich AOC Cuvée Blanc Prestige Staatsschreiber Staatskellerei Zürich,Schweiz,2022,12.35,4.2,7139,None
Amarone della Valpolicella DOCG Rocca Alata,Italien,2020,14.95,4.0,26875,"['85%', '22.7776%', '48.5099%', '23.2829%']"
"Prosecco DOC Vigne dei Dogi, extra dry",Italien,,6.95,3.4,1210,"['19.181%', '62.6693%', '60.5163%']"
Zürich AOC Federweisser Stauffacher 6x 75cl,Schweiz,2023,41.70,4.0,2001,None
Toscana IGT Rosso Villa Antinori,Italien,2021,12.95,3.8,123255,"['47.7876%', '40.2676%', '10.0666%', '49.0752%']"
Valais AOC Dôle Blanche Les Bernadettes 6x 75cl,Schweiz,2022,39.90,3.7,1106,None
Valdo Prosecco di Valdobbiadene DOCG,Italien,,9.95,3.9,2314,None
Ripasso della Valpolicella DOC Rocca Alata 6x 75cl,Italien,2020,41.70,4.0,26875,"['85%', '22.7776%', '48.5099%', '23.2829%']"
"Cava DO Carta Nevada Freixenet, semi-seco",Spanien,,6.95,3.6,2511,"['36.6856%', '47.5218%', '61.1095%']"
Bourgogne AOC Chardonnay Louis Jadot,Frankreich,2022,12.95,3.9,30618,None
La Côte AOC Féchy L'Artimon,Schweiz,2022,7.45,3.4,1386,"['28.8139%', '5.05366%', '64.3969%']"
Sauvignon Blanc Marlborough New Zealand Paddle Creek,Neuseeland,2022,6.90,4.3,17225,"['29.9815%', '8.066%', '72.5517%']"
Douro DOC Fabelhaft Niepoort,Portugal,2021,10.80,3.7,18853,"['79.2556%', '53.4931%', '9.54613%', '44.9907%']"
Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux 6x 70cl,Schweiz,2022,59.70,4.2,1010,"['44.0219%', '31.4086%', '8.94926%', '68.2885%']"
Malbec Reserva Mendoza Argentina Alvaro,Argentinien,2022,9.90,3.6,211,"['57.4659%', '34.892%', '26.108%', '37.5549%']"
Valais AOC Johannisberg Porte Novembre Maison Gilliard,Schweiz,2022,14.95,4.2,4914,"['44.8854%', '38.7914%', '69.9718%']"
La Côte AOC Luins Les Oursons 6x 75cl,Schweiz,2022,37.50,3.3,485,"['25.4884%', '0px', '69.0046%']"
Prosecco di Valdobbiadene DOCG Gioiosa Extra Dry,Italien,,9.95,4.1,38,"['17.5%', '64.1346%', '67.5%']"
Schaffhausen AOC Blauburgunder Hallauer Weinkeller zum Stauffacher 6x 75cl,Schweiz,2022,41.70,3.5,711,"['0px', '17.5846%', '18.8037%', '56.1499%']"
Vinho do Portugal Rosé Mateus,Portugal,,4.30,4.0,380,None
Rioja DOCa Crianza Cune,Spanien,2020,7.95,3.6,76741,"['56.5534%', '55.6689%', '9.40905%', '58.858%']"
Piazzo Moscato d'Asti DOCG,Italien,2022,6.95,4.1,2118,"['31.3915%', '34.7101%', '0px']"
Amarone della Valpolicella DOCG Vigne Alte Zeni,Italien,2021,16.95,4.2,5195,"['82.6965%', '26.0679%', '47.5185%', '24.4123%']"
Pouilly-Fumé AOC Fournier Père et Fils,Frankreich,2022,14.95,4.0,3213,"['21.7665%', '2.3348%', '65.4993%']"
Graubünden AOC Maienfelder Pinot Noir Steinbock,Schweiz,2022,9.45,3.8,1328,"['5.86303%', '17.2382%', '20.8731%', '63.4311%']"
Three Graces Barossa Valley Australia Château Tanunda,Australien,2021,7.45,3.8,96,"['80%', '55%', '5%', '42.5%']"
Primitivo di Manduria DOP Moi Varvaglione,Italien,2021,8.35,3.7,4145,"['61.8327%', '27.3203%', '37.6858%', '19.1492%']"
Primitivo del Salento IGT Dell'Arca Antonini 6x 75cl,Italien,2021,22.50,3.3,2804,"['60.6744%', '30.3571%', '36.4683%', '26.7461%']"
Vaud AOC Assemblage Rouge L'As de Coeur Cave de Jolimont,Schweiz,2022,9.75,3.5,1419,None
Gigondas AOP Château Saint-André,Frankreich,2022,11.95,3.8,4057,"['80.3873%', '38.5045%', '7.8588%', '44.3695%']"
Naturaplan Bio Valais AOC Nez Noir Les Domaines Rouvinez,Schweiz,2022,14.95,3.9,1820,None
Naturaplan Bio Demeter Waadt AOC Chasselas Libellule,Schweiz,2022,10.95,3.8,76,"['36.0897%', '16.859%', '55.3205%']"
Naturaplan Bio-Corbières AOC Rosé Château de Caraguilhes,Frankreich,2022,6.95,3.5,418,"['39.1129%', '3.2258%', '58.7903%']"
Primitivo del Salento IGT Vecchia Torre,Italien,2020,7.95,3.7,10087,"['62.9592%', '21.9642%', '40.8022%', '15.7737%']"
Ribera del Duero DO Tinto Fino Roble Legaris,Spanien,2021,19.10,3.4,143,"['63.6291%', '50.7997%', '0px', '61.8609%']"
Rioja DOCa Gran Reserva Faustino I,Spanien,2011,16.75,4.1,92268,"['61.9752%', '58.0588%', '8.24181%', '59.6572%']"
Champagne AOC Pommery Brut Royal,Frankreich,,35.95,3.9,34483,"['59.2576%', '71.7576%', '73.7569%']"
Viña Sutil Reserva Cabernet Sauvignon Carmenère Colchagua Valley,Chile,2019,2.95,3.6,76,"['77.25%', '56.75%', '3.25%', '46.375%']"
Zürich AOC Blauburgunder Staatsschreiber Staatskellerei Zürich,Schweiz,2022,12.35,3.9,3433,"['3.13887%', '18.2008%', '16.7693%', '64.1058%']"
"Rimuss Rosato Sparkling, dry, alkoholfrei",Schweiz,,6.80,3.5,57,None
Puglia IGT Primitivo Negroamaro Elettra Giordano,Italien,2022,11.70,4.3,2268,"['73.2888%', '37.2525%', '51.6478%', '31.029%']"
Terre Siciliane IGT Nero d'Avola Bromeus,Italien,2022,9.50,3.8,6021,"['79.2048%', '38.8506%', '36.0907%', '25.4391%']"
Malbec Mendoza Argentina La Mascota 6x 75cl,Argentinien,2021,53.70,3.9,29690,"['63.9202%', '31.4716%', '20.9055%', '37.0037%']"
Alsace AOP Pinot Gris Baron de Hoen,Frankreich,2022,6.95,3.7,1041,"['43.2536%', '42.3891%', '32.097%']"
Rioja DOCa Reserva Montes de Ciria 6x 75cl,Spanien,2019,38.70,3.7,611,"['57.47%', '62.7262%', '4.13379%', '58.8379%']"
Toscana IGT Lucente Frescobaldi,Italien,2021,19.50,3.6,44184,"['42.1008%', '38.5194%', '5.18006%', '45.0895%']"
Pays d'Oc IGP Rosé Syrah La Sensuelle 6x 75cl,Frankreich,2022,21.90,3.5,241,"['40.6482%', '8.54938%', '56.2346%']"
"Grand Vin Mousseux Cordon Or Mauler, brut",Schweiz,,12.70,3.7,761,None
Primitivo Salento IGT Emporio Antonini 6x75cl,Italien,,79.00,3.9,1413,"['57.5244%', '18.4486%', '47.0234%', '17.5468%']"
Champagne AOC Ice Charles Bertin,Frankreich,,19.95,4.0,96,"['64.25%', '42.7391%', '63.7391%']"
Valais AOC Dôle de Salquenen Les Dailles 6x 75cl,Schweiz,2022,49.80,3.4,1997,"['12.5218%', '20.739%', '5.98163%', '73.4153%']"
"Italian Sparkling La Gioiosa et Amorosa, alkoholfrei",Italien,,5.95,3.6,102,"['10.6951%', '47.0942%', '61.5875%']"
Neuchâtel AOC Oeil de Perdrix Château d'Auvernier,Schweiz,2022,14.20,3.8,1309,None
Ticino DOC Merlot Roccolo,Schweiz,2020,7.95,3.5,1001,"['54.6854%', '38.7837%', '10.3125%', '47.3956%']"
Primitivo del Salento IGT Dell'Arca Antonini 6x 75cl,Italien,2021,22.50,3.3,2804,"['60.6744%', '30.3571%', '36.4683%', '26.7461%']"
Vaud AOC Assemblage Rouge L'As de Coeur Cave de Jolimont,Schweiz,2022,9.75,3.5,1419,None
Gigondas AOP Château Saint-André,Frankreich,2022,11.95,3.8,4057,"['80.3873%', '38.5045%', '7.8588%', '44.3695%']"
Naturaplan Bio Valais AOC Nez Noir Les Domaines Rouvinez,Schweiz,2022,14.95,3.9,1820,None
Naturaplan Bio Demeter Waadt AOC Chasselas Libellule,Schweiz,2022,10.95,3.8,76,"['36.0897%', '16.859%', '55.3205%']"
Naturaplan Bio-Corbières AOC Rosé Château de Caraguilhes,Frankreich,2022,6.95,3.5,418,"['39.1129%', '3.2258%', '58.7903%']"
Primitivo del Salento IGT Vecchia Torre,Italien,2020,7.95,3.7,10087,"['62.9592%', '21.9642%', '40.8022%', '15.7737%']"
Ribera del Duero DO Tinto Fino Roble Legaris,Spanien,2021,19.10,3.4,143,"['63.6291%', '50.7997%', '0px', '61.8609%']"
Rioja DOCa Gran Reserva Faustino I,Spanien,2011,16.75,4.1,92268,"['61.9752%', '58.0588%', '8.24181%', '59.6572%']"
Champagne AOC Pommery Brut Royal,Frankreich,,35.95,3.9,34483,"['59.2576%', '71.7576%', '73.7569%']"
Viña Sutil Reserva Cabernet Sauvignon Carmenère Colchagua Valley,Chile,2019,2.95,3.6,76,"['77.25%', '56.75%', '3.25%', '46.375%']"
"Rimuss Rosato Sparkling, dry, alkoholfrei",Schweiz,,6.80,3.5,57,None
Zürich AOC Blauburgunder Staatsschreiber Staatskellerei Zürich,Schweiz,2022,12.35,3.9,3433,"['3.13887%', '18.2008%', '16.7693%', '64.1058%']"
Puglia IGT Primitivo Negroamaro Elettra Giordano,Italien,2022,11.70,4.3,2268,"['73.2888%', '37.2525%', '51.6478%', '31.029%']"
Terre Siciliane IGT Nero d'Avola Bromeus,Italien,2022,9.50,3.8,6021,"['79.2048%', '38.8506%', '36.0907%', '25.4391%']"
