Name,Country,Year,Price,Rating,Rating Counter,Tastes
Puglia IGT Primitivo Massaro Giordano,Italien,2022,16.50,4.2,6209,"['65.3956%', '20.9643%', '55.8631%', '12.1129%']"
Amarone della Valpolicella DOCG Rocca Alata,Italien,2020,14.95,4.0,26875,"['85%', '22.7776%', '48.5099%', '23.2829%']"
Toscana IGT Rosso Villa Antinori,Italien,2021,12.95,3.8,123255,"['47.7876%', '40.2676%', '10.0666%', '49.0752%']"
Primitivo di Manduria DOC Collection Giordano,Italien,2022,13.95,3.8,11426,"['65.8689%', '23.6765%', '41.9515%', '15.3833%']"
Ripasso della Valpolicella DOC Rocca Alata 6x 75cl,Italien,2020,41.70,4.0,26875,"['85%', '22.7776%', '48.5099%', '23.2829%']"
Douro DOC Fabelhaft Niepoort,Portugal,2021,10.80,3.7,18853,"['79.2556%', '53.4931%', '9.54613%', '44.9907%']"
Malbec Reserva Mendoza Argentina Alvaro,Argentinien,2022,9.90,3.6,211,"['57.4659%', '34.892%', '26.108%', '37.5549%']"
Antonini Monte Chiara Montepulciano d'Abruzzo DOC,Italien,2022,3.75,3.3,2059,"['36.1836%', '44.3312%', '0px', '61.1158%']"
Chianti Classico DOCG Riserva Rocca Guicciarda,Italien,2020,19.50,3.8,21095,None
Valais AOC Pinot Noir Fleur du Rhône,Schweiz,2022,10.95,3.3,1694,"['11.8461%', '25.5977%', '8.80386%', '67.2463%']"
Pays d'Oc IGP La Cuvée Mythique,Frankreich,2021,13.50,3.5,520,"['60.807%', '61.0322%', '4.659%', '63.3989%']"
Ripasso della Valpolicella Superiore DOC Palazzo Maffei,Italien,2020,16.50,3.9,7339,"['65.3152%', '36.7018%', '31.1362%', '24.6443%']"
Rioja DOCa Reserva Cune,Spanien,2019,17.95,3.8,38488,"['62.6304%', '59.946%', '7.86912%', '59.5939%']"
Primitivo del Salento IGT San Marciano Bag in Box,Italien,,12.95,3.7,591,"['58.3174%', '19.4919%', '36.2593%', '17.936%']"
Shiraz/Cabernet Sauvignon Australia Koonunga Hill Penfolds,Australien,2020,15.95,3.7,55278,"['85%', '48.1416%', '10.0252%', '44.7091%']"
"Pays d'Oc IGP Syrah, bag-in-box",Frankreich,,9.95,3.8,308,None
Schaffhausen AOC Blauburgunder Hallauer Weinkeller zum Stauffacher 6x 75cl,Schweiz,2022,41.70,3.5,711,"['0px', '17.5846%', '18.8037%', '56.1499%']"
Rioja DOCa Crianza Cune,Spanien,2020,7.95,3.6,76741,"['56.5534%', '55.6689%', '9.40905%', '58.858%']"
Rioja DOCa Las Flores,Spanien,2021,8.95,3.6,2114,"['58.5512%', '57.0632%', '15.1756%', '64.2845%']"
Vino Rosso d’Italia Edizione Cinque Autoctoni Fantini Farnese,Italien,2020,29.50,4.3,438,"['70.8831%', '36.2698%', '23.6308%', '52.1073%']"
Amarone della Valpolicella DOCG Vigne Alte Zeni,Italien,2021,16.95,4.2,5195,"['82.6965%', '26.0679%', '47.5185%', '24.4123%']"
Graubünden AOC Maienfelder Pinot Noir Steinbock,Schweiz,2022,9.45,3.8,1328,"['5.86303%', '17.2382%', '20.8731%', '63.4311%']"
Three Graces Barossa Valley Australia Château Tanunda,Australien,2021,7.45,3.8,96,"['80%', '55%', '5%', '42.5%']"
Primitivo di Manduria DOP Moi Varvaglione,Italien,2021,8.35,3.7,4145,"['61.8327%', '27.3203%', '37.6858%', '19.1492%']"
Veneto IGT Merlot Fontanera,Italien,,2.95,2.8,370,"['37.3374%', '40.8633%', '9.67638%', '34.1011%']"
Douro DOC Reserva Quinta dos Quatro Ventos,Portugal,2019,16.95,4.2,1265,"['81.3629%', '52.4971%', '14.2174%', '45.1828%']"
Primitivo del Salento IGT Dell'Arca Antonini 6x 75cl,Italien,2021,22.50,3.3,2804,"['60.6744%', '30.3571%', '36.4683%', '26.7461%']"
Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni,Italien,2021,14.95,3.8,5330,"['62.9127%', '36.8718%', '32.2367%', '26.3023%']"
Barbera d'Asti Superiore La Luna e i Falo DOCG,Italien,2021,14.95,3.9,12500,None
Vaud AOC Assemblage Rouge L'As de Coeur Cave de Jolimont,Schweiz,2022,9.75,3.5,1419,None
Gigondas AOP Château Saint-André,Frankreich,2022,11.95,3.8,4057,"['80.3873%', '38.5045%', '7.8588%', '44.3695%']"
Naturaplan Bio Valais AOC Nez Noir Les Domaines Rouvinez,Schweiz,2022,14.95,3.9,1820,None
