Name,Country,Year,Price,Rating,Rating Counter,Tastes
Chablais AOC Yvorne L'Ovaille Grand Cru,Schweiz,2022,25.50,3.9,720,"['32.7259%', '0px', '62.2171%']"
Moscato d'Asti DOCG Conica Araldica,Italien,2023,11.95,3.9,2585,"['29.5149%', '33.2535%', '0px']"
Piemonte DOC Timorasso Colli Tortonesi La Spinetta,Italien,2022,19.50,4.0,2045,None
Steinböckler Malans Completer Barrique,Schweiz,2021,29.95,4.0,44,None
Toscana IGT Sangiovese Bianco Duca di Saragnano,Italien,2022,9.95,3.9,584,"['38.4475%', '23.4659%', '54.108%']"
Naturaplan Bio Abbaye de Mont Mont-sur-Rolle La Côte AOC,Schweiz,2022,13.95,3.0,232,"['24.5614%', '13.4126%', '61.4295%']"
Alsace AOC Mont Saint Georges Domaine Robert Roth,Frankreich,2018,15.75,4.2,26,None
Ostschweizer Riesling-Sylvaner,Schweiz,2023,6.95,3.5,276,None
Sauvignon Blanc Napa Valley Black Stallion,USA,2022,19.95,3.8,1017,"['44.4537%', '1.9191%', '68.2584%']"
Toscana IGT Bianco Aqua di Venus Ruffino,Italien,2021,16.95,3.8,178,"['39.2751%', '22.6748%', '63.1998%']"
Valais AOC Dôle Blanche Les Bernadettes,Schweiz,2022,3.25,3.7,1106,None
Valais AOC Petite Arvine Telegram Maye,Schweiz,2023,18.95,4.1,243,"['63.125%', '19.0833%', '63.125%']"
Loco Mendoza Torrontés,Argentinien,2023,5.95,3.6,155,"['55.1346%', '0px', '56.5064%']"
Paris Séduction Sauvignon blanc,Frankreich,,2.95,2.7,198,None
Piazzo Moscato d'Asti DOCG,Italien,2023,6.95,4.1,2118,"['31.3915%', '34.7101%', '0px']"
Saint-Aubin 1er Cru Les Murgers des Dents de Chien 6x 75cl,Frankreich,2023,239.70,4.2,1340,"['62.8375%', '7.4766%', '49.76%']"
Ticino DOC Merlot Bianco Terre di Gudo,Schweiz,2022,19.50,3.7,852,None
Mauler Cuvée Excellence Brut Millésime,Schweiz,2016,28.45,4.1,156,None
Alsace AOC Gewürztraminer Albrecht Wolfberger,Frankreich,2020,14.15,3.8,7443,"['65.6305%', '50.1436%', '22.9848%']"
Genève AOC Chasselas Domaine du Paradis,Schweiz,2022,11.50,3.3,162,"['28.2913%', '0px', '68.4575%']"
Valais AOC Favi assemblage blanc,Schweiz,2021,19.95,4.0,614,None
Pouilly-Fumé AOC Marnes Kimméridgiennes Fournier Pére et Fils,Frankreich,2022,29.95,3.9,53,"['22.8782%', '0px', '68.4423%']"
Ticino DOC Bianco di Merlot Contrada,Schweiz,2022,17.50,3.7,3160,None
Jacob's Creek Chardonnay,Australien,2022,7.50,3.4,20257,"['51.3166%', '15.5731%', '48.4678%']"
Pays d'Oc IGP Cuvée Blanc H de l'Hospitalet Gérard Bertrand,Frankreich,2022,14.50,3.1,92,"['43.3148%', '0px', '37.5741%']"
Valais AOC Humagne Blanche Bibacchus,Schweiz,2023,16.95,3.8,474,None
Rioja DOCa Tempranillo Blanco Conde Valdemar,Spanien,2022,14.90,3.6,261,"['71.1155%', '11.3614%', '50.6345%']"
Valais AOC Dôle Blanche les Perlines,Schweiz,2022,16.60,3.9,30,None
Valais AOC Fendant Leon Chai du Baron,Schweiz,2022,14.95,3.8,222,"['31.5727%', '12.4561%', '60.4768%']"
Venezie IGT Masianco Masi,Italien,2022,13.95,3.6,14515,"['50.9998%', '17.7047%', '47.4092%']"
Alsace AOC Gewürztraminer Grand Cru Sonnenglanz Baron de Hoen,Frankreich,2020,18.50,3.8,654,"['65.5819%', '48.1542%', '20.6272%']"
La Côte AOC Féchy Grand Cru Domaine du Martheray,Schweiz,2022,8.50,3.7,812,"['33.7717%', '5.93494%', '62.9924%']"
Vinho Verde DOC Alvarinho Solar de Serrade Monção,Portugal,2021,14.95,3.9,1666,"['15.9789%', '1.33365%', '75.1881%']"
Basel-Stadt AOC Riehner Riesling-Sylvaner Schlipfer,Schweiz,2023,12.95,3.6,99,"['5%', '23.9615%', '17.5%']"
Chardonnay Scotch Barrel Aged 1924 Wines,USA,2019,17.95,4.0,2564,"['83.3854%', '37.8193%', '39.708%']"
Wallis AOC Petite Arvine Saillon Grand Cru,Schweiz,2022,28.00,4.0,47,"['67.5%', '5%', '80%']"
