RESTAURANT_ID;NAME;ADRESS;REVIEW_COUNT_TRIP;REVIEW_COUNT_GOOGLE;PRICE_RANGE_TRIP;CITY;PLZ;KREIS;AVERAGE_REVIEW_TRIP;AVERAGE_REVIEW_GOOGLE;WEIGHTED AVERAGE REVIEW;DATA_SOURCE;alt_Google_clean.Restaurantname;alt_Beide Quellen?;alt_Trip_Küche;alt_Google_clean.Ort;alt_Google_clean.PLZ;alt_Google_clean.Strasse;alt_Google_KÜCHE;alt_Merged_Küche;alt_Google_clean.Preis;SUM REVIEW COUNT;PRICE_NUMERIC;WEIGHTED RATING;Lage
1;01 Bar;Limmatquai 86;63;451;€€ - €€€;Zürich;8001;Kreis 1;4;4.1;4.087743191;both;01Bar;Yes;Café, International, Speiselokal;Zürich;8001;Limmatquai 86;Schweizerisch;Café, International, Speiselokal, Schweizerisch;Mäßig teuer;514;3;4.093632959;Zentrum
2;1001 Gmbh;Niederdorfstrasse 4;59;508;€;Zürich;8001;Kreis 1;3;3.6;3.537566138;both;1001 GmbH;Yes;Fast Food, Orientalisch, Türkisch;Zürich;8001;Niederdorfstrasse 4;Restaurant;Fast Food, Orientalisch, Türkisch, Restaurant;k. A.;567;1;3.561669506;Zentrum
3;1Komma7 grill&bar;Claridenstrasse 14;29;211;€€ - €€€;Zürich;8002;Kreis 2;4;4.5;4.439583333;both;1KOMMA7;Yes;Grillspezialitäten;Zürich;8002;Claridenstrasse 14;Grillrestaurant;Grillspezialitäten, Grillrestaurant;k. A.;240;3;4.424615385;Zentrum
4;4Leoni;Luisenstrasse 43;189;434;€€ - €€€;Zürich;8005;Kreis 5;4;4.4;4.278651685;both;4 Leoni Firenze;Yes;Europäisch, Italienisch, Mediterran;Zürich;8005;Luisenstrasse 43;Toskanisch;Europäisch, Italienisch, Mediterran, Toskanisch;Teuer;623;3;4.277604977;Zentrum
5;7 PASTA Pizzakurier & Partyservice;Steinackerstrasse 35;6;184;€€ - €€€;Kloten;8302;Aglo.;3;4.4;4.355789474;both;7 Pasta Pizzakurier, Partyservice & Restaurant;Yes;Italienisch, Pizza;Kloten;8302;Steinackerstrasse 35;Restaurant;Italienisch, Pizza, Restaurant;k. A.;190;3;4.345238095;Aglo.
6;8304 Altes Feuerwehrgebäude;Zentralstrasse 4;32;471;€€ - €€€;Zürich;8304;Aglo.;4;4.4;4.374552684;both;8304 | Altes Feuerwehrgebäude;Yes;Schweizerisch, Mediterran, Amerikanisch;Wallisellen;8304;Zentralstrasse 4;Restaurant;Schweizerisch, Mediterran, Amerikanisch, Restaurant;Mäßig teuer;503;3;4.36959847;Aglo.
7;Aargauerhof;Hohlstrasse 43;93;467;€€ - €€€;Zürich;8004;Kreis 4;3.5;4.3;4.167142857;both;Aargauerhof;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8004;Hohlstrasse 43;Restaurant;Europäisch, Schweizerisch, Mitteleuropäisch, Restaurant;Mäßig teuer;560;3;4.169827586;Zentrum
8;Accademia Del Gusto;Rotwandstrasse 48;228;324;€€€€;Zürich;8004;Kreis 4;4.5;4.6;4.558695652;both;Accademia del Gusto;Yes;Europäisch, Italienisch, Mediterran;Zürich;8004;Rotwandstrasse 48;Restaurant;Europäisch, Italienisch, Mediterran, Restaurant;Teuer;552;4;4.547727273;Zentrum
9;Accogliente Cafe & Bistro;Zwirneireistrasse 21;27;301;€€ - €€€;Zürich;8304;Aglo.;5;4.9;4.908231707;both;Accogliente Restaurant, Cafe & Bistro;Yes;Europäisch, Italienisch, Mediterran;Wallisellen;8304;Zwirnereistrasse 21;Italienisch;Europäisch, Italienisch, Mediterran, Italienisch;Mäßig teuer;328;3;4.870114943;Aglo.
10;Restaurant Achi;Brauerstrasse 4;676;1873;€;Zürich;8004;Kreis 4;4.5;4.3;4.353040408;both;Ach'i;Yes;Asiatisch, Thailändisch, Chinesisch;Zürich;8004;Brauerstrasse 4;Chinesisch;Asiatisch, Thailändisch, Chinesisch, Chinesisch;Price information not available;2549;1;4.352199299;Zentrum
11;Zürich Afghan Anar;Fierzgasse 22;36;574;€€ - €€€;Zürich;8005;Kreis 5;4.5;4.5;4.5;both;Afghan Anar Limmatplatz;Yes;Orientalisch, Afghanisch;Zürich;8005;Fierzgasse 22;Restaurant;Orientalisch, Afghanisch, Restaurant;Mäßig teuer;610;3;4.491904762;Zentrum
12;Ah Hua;Ankerstrasse 110;292;767;€€ - €€€;Zürich;8004;Kreis 4;4;4.3;4.217280453;both;Ah-Hua;Yes;Asiatisch, Thailändisch;Zürich;8004;Ankerstrasse 110;Thailändisch;Asiatisch, Thailändisch, Thailändisch;k. A.;1059;3;4.217794254;Zentrum
13;Ah Hua;Brauerstrasse 9;9;172;;Zürich;8004;Kreis 4;3;4.2;4.140331492;both;Ah-Hua ;Yes;Thailändisch;Zürich;8004;Brauerstrasse 9;Thailändisch;Thailändisch, Thailändisch;Price information not available;181;0;4.150746269;Zentrum
14;Akaraka Korean Restaurant;Bäckerstrasse 30;231;1072;€€ - €€€;Zürich;8004;Kreis 4;4.5;4.7;4.664543361;both;Akaraka;Yes;Koreanisch;Zürich;8004;Bäckerstrasse 30;Koreanisch;Koreanisch, Koreanisch;Mäßig teuer;1303;3;4.658201058;Zentrum
15;Al Mouchtar;Schaffhauserstrasse 104;11;324;;Zürich;8152;Aglo.;4.5;4.4;4.403283582;both;Al Mouchtar;Yes;Mediterran, Orientalisch, Libanesisch;Opfikon;8152;Schaffhauserstrasse 104;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;k. A.;335;0;4.394366197;Aglo.
16;Al Paso Gastronomie GmbH;Spitalgasse 12;16;265;€€ - €€€;Zürich;8001;Kreis 1;5;4.8;4.8113879;both;al paso;Yes;Gesund;Zürich;8001;Spitalgasse 12;Sandwich;Gesund, Sandwich;Price information not available;281;3;4.773754153;Zentrum
17;Al Venttoto;Schaffhauserstrasse 29;15;144;€€ - €€€;Zürich;8006;Kreis 6;4.5;4.8;4.771698113;both;Al Ventotto;Yes;Europäisch, Italienisch, Pizza;Zürich;8006;Schaffhauserstrasse 29;Pizza;Europäisch, Italienisch, Pizza, Pizza;k. A.;159;3;4.712849162;Zentrum
18;Alegria Restaurante Peruano;Seestrasse 361;2;195;;Zürich;8038;Kreis 2;5;4.5;4.505076142;both;Alegria Restaurante Peruano;Yes;;Zürich;8038;Seestrasse 361;Peruanisch;, Peruanisch;Price information not available;197;0;4.481105991;Zentrum
19;Alexis Restaurant & Winebar;Niederdorfstrasse 40;348;618;€€ - €€€;Zürich;8001;Kreis 1;4;4.3;4.191925466;both;Alexi's Restaurant;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8001;Niederdorfstrasse 40;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Mäßig teuer;966;3;4.193002028;Zentrum
20;Almodobar AG;Bleicherweg 68;94;752;€€ - €€€;Zürich;8002;Kreis 2;4;4.2;4.177777778;both;Almodobar;Yes;Europäisch, Mediterran, Spanisch;Zürich;8002;Bleicherweg 68;Restaurant;Europäisch, Mediterran, Spanisch, Restaurant;Mäßig teuer;846;3;4.179330254;Zentrum
21;Alpenrose;Fabrikstrasse 12;278;517;€€ - €€€;Zürich;8005;Kreis 5;4.5;4.7;4.630062893;both;Alpenrose;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8005;Fabrikstrasse 12;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Mäßig teuer;795;3;4.620613497;Zentrum
22;Ambrosi;Viaduktstrasse 37;115;604;€€ - €€€;Zürich;8005;Kreis 5;3.5;4.3;4.172044506;both;Ambrosi;Yes;Europäisch, Italienisch, Mediterran;Zürich;8005;Viaduktstrasse 37;Italienisch;Europäisch, Italienisch, Mediterran, Italienisch;Mäßig teuer;719;3;4.174018945;Zentrum
23;AN Restaurant;Uraniastrasse 20;4;73;;Zürich;8001;Kreis 1;4;4.5;4.474025974;both;AN Restaurant;Yes;Europäisch, Asiatisch, Japanisch, Französisch;Zürich;8001;Uraniastrasse 20;Restaurant;Europäisch, Asiatisch, Japanisch, Französisch, Restaurant;k. A.;77;0;4.426804124;Zentrum
24;Andulino;Richtiplatz 4;123;457;€€ - €€€;Zürich;8304;Aglo.;4;4.4;4.315172414;both;Andulino;Yes;Italienisch, Mediterran, Pizza;Wallisellen;8304;Richtiplatz 4;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Mäßig teuer;580;3;4.312833333;Aglo.
25;Angkor;Giessereistrasse 18;323;470;€€ - €€€;Zürich;8005;Kreis 5;3.5;4;3.796343001;both;Angkor;Yes;Asiatisch, Thailändisch;Zürich;8005;Giessereistrasse 18;Restaurant;Asiatisch, Thailändisch, Restaurant;Teuer;793;3;3.807380074;Zentrum
26;Anoah - Plant Based;Rigiplatz 1;23;202;€€€€;Zürich;8006;Kreis 6;4.5;4.7;4.679555556;both;ANOAH - Plant based;Yes;Europäisch, Schweizerisch, Französisch;Zürich;8006;Rigiplatz 1;Veganes Restaurant;Europäisch, Schweizerisch, Französisch, Veganes Restaurant;Price information not available;225;4;4.644081633;Zentrum
27;Antica Roma;Sihlamtsstrasse 5;54;182;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.4;4.194067797;both;Antica Roma;Yes;Italienisch, Pizza, Bar;Zürich;8001;Sihlamtsstrasse 5;Italienisch;Italienisch, Pizza, Bar, Italienisch;Mäßig teuer;236;3;4.198046875;Zentrum
