[],[],[],,,5.0
['Elmira'],['155\xa0Bewertungen'],['€€€€'],"Europäisch, Schweizerisch, Mitteleuropäisch","Limmatstrasse 254 Eingang beim Lift SiloSilo, Zürich 8005 Schweiz",5.0
['Red Lion Kloten'],['140\xa0Bewertungen'],['€€ - €€€'],"Asiatisch, Chinesisch, Sushi","Schaffhauserstrasse 147, Kloten 8302 Schweiz",5.0
[],[],[],,,5.0
['Restaurant Krone Altstetten'],['244\xa0Bewertungen'],['€€ - €€€'],"Europäisch, Schweizerisch, Zeitgenössisch","Badenerstrasse 705, Zürich 8048 Schweiz",4.5
['Sign Eat & Drink'],['177\xa0Bewertungen'],['€€ - €€€'],"Schweizerisch, Zeitgenössisch, Fusion","Bahnhofstrasse 10 Hotel MyWay, Wallisellen, Zürich 8304 Schweiz",5.0
['Differente Hotel Krone Unterstrass'],['1’084\xa0Bewertungen'],['€€ - €€€'],"Europäisch, Schweizerisch, Gesund","Schaffhauserstrasse 1, Zürich 8006 Schweiz",4.5
[],[],[],,,4.5
['Alpenrose'],['278\xa0Bewertungen'],['€€ - €€€'],"Europäisch, Schweizerisch, Mitteleuropäisch","Fabrikstrasse 12, Zürich 8005 Schweiz",4.5
['Restaurant La Soupière'],['330\xa0Bewertungen'],['€€€€'],"Europäisch, Schweizerisch, Französisch","Bahnhofplatz 7, Zürich 8001 Schweiz",4.5
['Haus zum Rüden'],['334\xa0Bewertungen'],['€€€€'],"Schweizerisch, International","Limmatquai 42, Zürich 8001 Schweiz",4.5
['Restaurant Nihao'],['244\xa0Bewertungen'],['€€ - €€€'],"Asiatisch, Chinesisch, Sushi","Oerlikonerstrasse 43 Oerlikon, Nähe Milchbuck und Berninaplatz, Zürich 8057 Schweiz",4.5
['Ristorante Da Angela'],['326\xa0Bewertungen'],['€€€€'],"Europäisch, Italienisch, Mediterran","Hohlstrasse 449, Zürich 8048 Schweiz",4.5
['Thach Restaurant'],['253\xa0Bewertungen'],['€'],"Asiatisch, Thailändisch, Vietnamesisch","Militaerstrasse 84, Zürich 8004 Schweiz",4.5
['Zunfthaus zur Waag'],['486\xa0Bewertungen'],['€€€€'],"Schweizerisch, International, Französisch","Muensterhof 8, Zürich 8001 Schweiz",4.5
['Restaurant Ö'],['198\xa0Bewertungen'],['€€ - €€€'],"Europäisch, Schweizerisch, Französisch","Schaffhauserstrasse 335 Hotel Sternen Oerlikon, Zürich 8050 Schweiz",4.5
"[""Didi's Frieden""]",['725\xa0Bewertungen'],['€€€€'],"Europäisch, Schweizerisch, Mitteleuropäisch","Stampfenbachstrasse 32, Zürich 8006 Schweiz",4.5
[],[],[],,,4.5
[],[],[],,,4.5
[],[],[],,,4.5
"[""YEN'S""]",['492\xa0Bewertungen'],['€€ - €€€'],"Asiatisch, Japanisch, Sushi","Hallwylstrasse 43, Zürich 8004 Schweiz",4.5
[],[],[],,,4.5
['Bianchi'],['542\xa0Bewertungen'],['€€€€'],"Italienisch, Mediterran, Meeresfrüchte","Limmatquai 82 8001 Zurich, Zürich 8001 Schweiz",4.5
"[""Rosaly's Restaurant & Bar""]",['333\xa0Bewertungen'],['€€ - €€€'],"Europäisch, Schweizerisch, Mitteleuropäisch","Freieckgasse 7, Zürich 8001 Schweiz",4.5
[],[],[],,,4.5
['Schweizerhof Bar'],['132\xa0Bewertungen'],['€€ - €€€'],,"Bahnhofplatz 7, Zürich 8001 Schweiz",4.5
[],[],[],,,4.5
[],[],[],,,4.5
"[""King's Cave""]",['573\xa0Bewertungen'],['€€€€'],"Europäisch, Bar, Steakhaus, Barbecue","Central 1 8001 Zürich, Zürich 8001 Schweiz",4.5
['Marktküche'],['253\xa0Bewertungen'],['€€€€'],"Europäisch, Mitteleuropäisch, International","Feldstrasse 98, Zürich 8004 Schweiz",4.5
['Tadka Indisches Restaurant'],['293\xa0Bewertungen'],['€€ - €€€'],"Asiatisch, Indisch","QUELLENSTRASSE 49, Zürich 8005 Schweiz",4.5
"[""Rolli's Steakhouse Kloten""]",['514\xa0Bewertungen'],['€€ - €€€'],"Bar, Amerikanisch, Steakhaus, Barbecue","Gerbegasse 9, Kloten 8302 Schweiz",4.5
